PT,AU,TI,SO,DT,AB,TC,PU,PI,PA,SN,EI,J9,JI,PD,PY,VL,IS,BP,EP,AR,DI,PG,WC,SC,UT,PM,OA,Bronze,Green,Green Accepted,Green Published,Gold,Gold DOAJ ,Gold Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Lane-Cordova, AD; Carnethon, MR","Re: Cardiorespiratory fitness, exercise haemodynamics and birth outcomes: the Coronary Artery Risk Development in Young Adults (CARDIA) Study Cardiorespiratory exercise testing years preceding pregnancy and birth outcomes: comments on heart rate recovery Reply",BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,Letter,,0,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1470-0328,1471-0528,BJOG-INT J OBSTET GY,BJOG,OCT,2018,125,11,1490,1491,,10.1111/1471-0528.15209,2,Obstetrics & Gynecology,Obstetrics & Gynecology,WOS:000444409100039,29656525,Bronze,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Rodrigues, P; Santos-Ribeiro, S; Teodoro, T; Gomes, FV; Leal, I; Reis, JP; Goff, DC; Goncalves, A; Lima, JAC",Association Between Alcohol Intake and Cardiac Remodeling,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,Article,"BACKGROUND Alcohol-induced cardiotoxicity is incompletely understood. Specifically, the long-term impact of alcohol use on ventricular remodeling or dysfunction, its modulators, and effect thresholds among young adults remain controversial. OBJECTIVES The authors sought to evaluate a potential relationship between alcohol intake and cardiac remodeling, assessed by echocardiography, over 20 years of follow-up. METHODS Among the CARDIA (Coronary Artery Risk Development in Young Adults) study cohort, the authors studied all subjects without baseline heart disorders who provided adequate information on their drinking habits and underwent echocardiographic evaluation at years 5 and 25 of the study. The echocardiographic outcomes were left ventricular (LV) ejection fraction, indexed LV end-diastolic volume and LV mass, and left atrial diameter. Participants were grouped according to their weighted-average weekly drinking habits. An additional analysis used the estimated cumulative alcohol consumption. Regression models and multivariable fractional polynomials were used to evaluate the association between alcohol consumption and the outcomes. RESULTS Among the 2,368 participants, alcohol consumption was an independent predictor of higher indexed LV mass (p = 0.014) and indexed LV end-diastolic volume (p = 0.037), regardless of sex. No significant relationship between alcohol intake and LV ejection fraction was found. Drinking predominantly wine was associated with less cardiac remodeling and there was a nonsignificant trend for a harmful effect of binge drinking. CONCLUSIONS After 20 years of follow-up, alcohol intake was associated with adverse cardiac remodeling, although it was not related with LV systolic dysfunction in this initially healthy young cohort. Our results also suggest that drinking predominantly wine associates with less deleterious findings in cardiac structure. (C) 2018 the American College of Cardiology Foundation. Published by Elsevier. All rights reserved.",9,ELSEVIER SCIENCE INC,NEW YORK,"360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA",0735-1097,1558-3597,J AM COLL CARDIOL,J. Am. Coll. Cardiol.,25-Sep,2018,72,13,1452,1462,,10.1016/j.jacc.2018.07.050,11,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology,WOS:000444866100003,30236306,Bronze,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Pandey, A; Allen, NB; Ayers, C; Reis, JP; Moreira, HT; Sidney, S; Rana, JS; Jacobs, DR; Chow, LS; de Lemos, JA; Carnethon, M; Berry, JD",Fitness in Young dulthood and grk Long-Term Cardiac Structure and Function The CARDIA Study,JACC-HEART FAILURE,Article,"OBJECTIVES This study sought to evaluate the association between early-life cardiorespiratory fitness (CRF) and measures of left ventricular (LV) structure and function in midlife. BACKGROUND Low CRF in midlife is associated with a higher risk of heart failure. However, the unique contributions of early-life CRF toward measures of LV structure and function in middle age are not known. METHODS CARDIA (Coronary Artery Risk Development in Young Adults) study participants with a baseline maximal treadmill test and an echocardiogram at year 25 were included. Associations among baseline CRF, CRF change, and echocardiographic LV parameters (global longitudinal strain [GLS] and global circumferential strain, E/e') were assessed using multivariable linear regression. RESULTS The study included 3,433 participants. After adjustment for baseline demographic and clinical characteristics, lower baseline CRF was significantly associated with higher LV strain (standardized parameter estimate [Std beta] = 0.06; p = 0.03 for GLS) and ratio of early transmitral flow velocity to early peak diastolic mitral annular velocity (E/e') (Std = -0.10; p = 0.0001 for lateral E/e'), findings suggesting impaired contractility and elevated diastolic filling pressure in midlife. After additional adjustment for cumulative cardiovascular risk factor burden observed over the follow-up period, the association of CRF with LV strain attenuated substantially (p = 0.36), whereas the association with diastolic filling pressure remained significant (Std beta = 0.05; p = 0.02 for lateral E/e'). In a subgroup of participants with repeat CRF tests at year 20, greater decline in CRF was significantly associated with increased abnormalities in GLS (Std (3 = 0.05; p = 0.02) and higher diastolic filling pressure (Std = 0.06; p = 0.006 for lateral E/e') in middle age. CONCLUSIONS CRF in young adulthood and CRF change were associated with measures of LV systolic function and diastolic filling pressure in middle age. Low CRF-associated abnormalities in systolic function were related to the associated higher cardiovascular risk factor burden. In contrast, the inverse association between CRF and LV diastolic filling pressure was independent of cardiovascular risk factor burden. (J Am Coll Cardiol HF 2017;5:347-55) (C) 2017 Published by Elsevier on behalf of the American College of Cardiology Foundation.",29,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",2213-1779,2213-1787,JACC-HEART FAIL,JACC-Heart Fail.,MAY,2017,5,5,347,355,,10.1016/j.jchf.2016.11.014,9,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology,WOS:000400634100005,28285119,Bronze,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Kishi, S; Gidding, SS; Reis, JP; Colangelo, LA; Venkatesh, BA; Armstrong, AC; Isogawa, A; Lewis, CE; Wu, C; Jacobs, DR; Liu, K; Lima, JAG",Association of Insulin Resistance and Glycemic Metabolic Abnormalities With LV Structure and Function in Middle Age The CARDIA Study,JACC-CARDIOVASCULAR IMAGING,Article,"OBJECTIVES This study sought to investigate how cumulative exposure to glycemic abnormalities and trajectories of insulin resistance (IR) relate to left ventricular (LV) remodeling and function during young to middle adulthood. BACKGROUND Cumulative exposure to glycemic abnormalities and trajectories of IR may adversely influence LV remodeling and function over a 25-year period in subjects who were young adults, predisposing individuals to heart failure later in life. METHODS In the CARDIA (Coronary Artery Risk Development in Young Adults) Year 25 examination, 3,179 participants were identified with information on glucose metabolism; these participants were stratified into 4 subgroups: group 1 normal glucose tolerance (NGT), group 2 impaired glucose tolerance (IGT) or impaired fasting glucose, group 3 late diabetes mellitus (DM) (DM diagnosed at year 15 or later), and group 4 early DM (DM diagnosed at year 0 to year 15). Among the subgroup without DM, 3 trajectory groups of change in the homeostasis model assessment of IR were identified: low IR, moderate IR, and high IR. LV mass, relative wall thickness, LV ejection fraction (LVEF), longitudinal systolic strain (Ell), and early diastolic strain rate (Ell_SRe) at year 25 were assessed by echocardiography. Clinically relevant systolic and diastolic dysfunction were defined as LVEF <50% for systolic dysfunction, and E/e >= 13 for diastolic dysfunction. RESULTS The early DM group had less favorable LV mass (coefficient =11.04; p < 0.001), LVEF (coefficient = 2.72; p < 0.05), ELL (coefficient = 1.53; p < 0.001), and Ell_SRe (coefficient = 0.09; p < 0.05) than did the NGT group. Being in the early DM group and having high hemoglobin Al, were independently associated with greater odds of having systolic dysfunction (odds ratio = 5.44; p < 0.005) compared with the NGT group. High IR was associated with worse relative wall thickness (coefficient = 0.019; p < 0.0001) and worse Ell, E', and Ell_SRe, depending on obesity level. CONCLUSIONS Cumulative exposure to DM or higher IR beginning in early adulthood adversely impacts LV remodeling and function at middle age. (C) 2017 by the American College of Cardiology Foundation.",28,ELSEVIER SCIENCE INC,NEW YORK,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA",1936-878X,1876-7591,JACC-CARDIOVASC IMAG,JACC-Cardiovasc. Imag.,FEB,2017,10,2,105,114,,10.1016/j.jcmg.2016.02.033,10,"Cardiac & Cardiovascular Systems; Radiology, Nuclear Medicine & Medical Imaging","Cardiovascular System & Cardiology; Radiology, Nuclear Medicine & Medical Imaging",WOS:000394926500001,27544896,Bronze,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Gamundi-Segura, S; Torres-Perez, E; Sanz-Paris, A; Arbones-Mainar, JM",Interaction of apolipoprotein E gene polymorphisms on miscarriage risk in black and white American women not extract properly v22,FERTILITY AND STERILITY,Article,"Objective: To evaluate whether [1] apolipoprotein E (APOE) polymorphisms can differentially regulate miscarriage risk and [2] whether this genotype effect could also be modulated by the race within populations. Design: Data were derived from the Coronary Artery Risk Development in Young Adults (CARDIA), a longitudinal study with black and white participants from four U.S. locations. Setting: Not applicable. Patient(s): Women without miscarriages (controls) and women who miscarried at least once (cases). Intervention(s): None. Main Outcome Measure(s): A group of women (n = 1,372) successfully followed for 25 years and with their APOE alleles identified were analyzed for miscarriage risk throughout their reproductive life. Additionally, a larger longitudinal analysis encompassing all the participants who had their APOE characterized (n = 2,140) was also performed for the association between APOE and miscarriage risk. Result(s): In white women followed up for 25 years, the odds ratio for miscarriage associated with APOE*2 allele presence was 1.61 (950/0 confidence interval, 1.04-2.50) compared with APOE*33 carriers. This was a race-dependent phenomenon as no associations between APOE alleles and miscarriage was observed in black women. Likewise, Cox regression analysis showed that cumulative miscarriage risk in white women was 37.2% in the APOE""2 carriers compared with 27.8% and 24.8% in APOE""33 and APOE""4 carriers, respectively. With APOE*33 as the reference, the age-adjusted hazard ratio associated with carrying the APOE*2 allele was 1.47 (95 confidence interval, 1.06-2.05). Conclusion(s): This variable miscarriage risk, produced by an interaction between genotype and race, may reconcile, at least partially, the conflicting reports of the association of APOE and miscarriage risk. (Fertil Stuff!' 2016;105:1554-60. (C) 2016 by American Society for Reproductive Medicine.)",1,ELSEVIER SCIENCE INC,NEW YORK,"360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA",0015-0282,1556-5653,FERTIL STERIL,Fertil. Steril.,JUN,2016,105,6,1554,U233,,10.1016/j.fertnstert.2016.02.021,8,Obstetrics & Gynecology; Reproductive Biology,Obstetrics & Gynecology; Reproductive Biology,WOS:000377290900029,26952784,Bronze,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Kishi, S; Teixido-Tura, G; Ning, HY; Venkatesh, BA; Wu, CL; Almeida, A; Choi, EY; Gjesdal, O; Jacobs, DR; Schreiner, PJ; Gidding, SS; Liu, K; Lima, JAC",Cumulative Blood Pressure in Early Adulthood and Cardiac Dysfunction in Middle Age The CARDIA Study,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,Article,"BACKGROUND Cumulative blood pressure (BP) exposure may adversely influence myocardial function, predisposing individuals to heart failure later in life. OBJECTIVES This study sought to investigate how cumulative exposure to higher BP influences left ventricular (LV) function during young to middle adulthood. METHODS The CARDIA (Coronary Artery Risk Development in Young Adults) study prospectively enrolled 5,115 healthy African Americans and whites in 1985 and 1986 (baseline). At the year 25 examination, LV function was measured by 2-dimensional echocardiography; cardiac deformation was assessed in detail by speckle-tracking echocardiography. We used cumulative exposure of BP through baseline and up to the year 25 examination (millimeters of mercury x year) to represent long-term exposure to BP levels. Linear regression and logistic regression were used to quantify the association of BP measured repeatedly through early adulthood (18 to 30 years of age) up to middle age (43 to 55 years). RESULTS Among 2,479 participants, cumulative BP measures were not related to LV ejection fraction; however, high cumulative exposure to systolic blood pressure (SBP) and diastolic blood pressure (DBP) were associated with lower longitudinal strain rate (both p < 0.001). For diastolic function, higher cumulative exposures to SBP and DBP were associated with low early diastolic longitudinal peak strain rate. Of note, higher DBP (per SD increment) had a stronger association with diastolic dysfunction compared with SBP. CONCLUSIONS Higher cumulative exposure to BP over 25 years from young adulthood to middle age is associated with incipient LV systolic and diastolic dysfunction in middle age. (C) 2015 by the American College of Cardiology Foundation.",53,ELSEVIER SCIENCE INC,NEW YORK,"360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA",0735-1097,1558-3597,J AM COLL CARDIOL,J. Am. Coll. Cardiol.,30-Jun,2015,65,25,2679,2687,,10.1016/j.jacc.2015.04.042,9,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology,WOS:000356775100001,26112189,Bronze,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Sharma, S; Colangelo, LA; Lima, J; Liu, K; Desai, C; Kishi, S; Reis, J; Greenland, P",Effects of Weight and Weight Change on Cardiac Remodeling Over 20 Years The CARDIA (Coronary Artery Risk Development in Young Adults) Study,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,Letter,,1,ELSEVIER SCIENCE INC,NEW YORK,"360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA",0735-1097,1558-3597,J AM COLL CARDIOL,J. Am. Coll. Cardiol.,9-Jun,2015,65,22,2463,2465,,10.1016/j.jacc.2015.03.561,4,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology,WOS:000355446500017,26046743,Bronze,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Calderon-Margalit, R; Siscovick, D; Merkin, SS; Wang, E; Daviglus, ML; Schreiner, PJ; Sternfeld, B; Williams, OD; Lewis, CE; Azziz, R; Schwartz, SM; Wellons, MF",Prospective Association of Polycystic Ovary Syndrome With Coronary Artery Calcification and Carotid-Intima-Media Thickness The Coronary Artery Risk Development in Young Adults Women's Study,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,Article,"Objective-To study the independent associations of polycystic ovary syndrome (PCOS), and its 2 components, hyperandrogenism and anovulation, with coronary artery calcification (CAC) and carotid artery intima-media thickness (IMT). Approach and Results-At the year 20 of the Coronary Artery Risk Development in Young Adults (CARDIA) study, a population-based multicenter cohort of young adults, women (mean age, 45 years) with information on menses and hirsutism in their twenties were assessed for CAC (n=982) and IMT (n=988). We defined PCOS as women who had both irregular menses and hyperandrogenism (n=55); isolated oligomenorrhea (n=103) as women who only had irregular menses; and isolated hyperandrogenism (n=156) as women who had either hirsutism or increased testosterone levels. Logistic regressions and general linear models were used to estimate the associations between components of PCOS and subclinical CVD. The prevalence of CAC was 10.3% overall. Women with PCOS had a multivariable adjusted odds ratio of 2.70 (95% confidence interval, 1.31-5.60) for CAC. Women with either isolated oligomenorrhea or isolated hyperandrogenism had no increased risk of CAC when compared with unexposed women. Women with PCOS had significantly increased bulb and internal carotid-IMT measurements; however, no significant differences were noted in bulb or internal carotid artery IMT among women with either isolated oligomenorrhea or isolated hyperandrogenism when compared with unexposed women. There were no differences in common carotid-IMT among the 4 study groups. Conclusions-In this study, women with PCOS, manifested as both anovulation and hyperandrogenism, but not women with one of these manifestations alone, were at increased risk for the development of subclinical CVD.",43,LIPPINCOTT WILLIAMS & WILKINS,PHILADELPHIA,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA",1079-5642,1524-4636,ARTERIOSCL THROM VAS,Arterioscler. Thromb. Vasc. Biol.,DEC,2014,34,12,2688,U218,,10.1161/ATVBAHA.114.304136,11,Hematology; Peripheral Vascular Disease,Hematology; Cardiovascular System & Cardiology,WOS:000345443400025,25359859,Bronze,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Jacobs, DR; Sijtsma, FPC; Meyer, KA; Steffen, LM; Harnack, L; Shikany, JM; Van Horn, L; Kromhout, D",Inclusion of changing food supply when observing longitudinal trends in diet Reply,AMERICAN JOURNAL OF CLINICAL NUTRITION,Letter,,0,AMER SOC NUTRITION-ASN,BETHESDA,"9650 ROCKVILLE PIKE, BETHESDA, MD 20814 USA",0002-9165,,AM J CLIN NUTR,Am. J. Clin. Nutr.,JUL,2012,96,1,220,222,,10.3945/ajcn.112.039180,3,Nutrition & Dietetics,Nutrition & Dietetics,WOS:000305670100036,,Bronze,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Halanych, JH; Safford, MM; Kertesz, SG; Person, SD; Kiefe, CI","RE: ""ALCOHOL CONSUMPTION IN YOUNG ADULTS AND INCIDENT HYPERTENSION: 20-YEAR FOLLOW-UP FROM THE CORONARY ARTERY RISK DEVELOPMENT IN YOUNG ADULTS STUDY'' REPLY",AMERICAN JOURNAL OF EPIDEMIOLOGY,Letter,,0,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0002-9262,,AM J EPIDEMIOL,Am. J. Epidemiol.,15-Sep,2010,172,6,744,745,,10.1093/aje/kwq237,2,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",WOS:000281949100018,,Bronze,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
