DOI	PubMed_ID	Scopus_ID	Web_of_Science_ID	URL	Database	Document_Type_Final	Document_Type_Scopus	Document_Type_Web_of_Science	Document_Type_Other	Reference_Detail	CORE	Authors	Title 	Year	Publication_Date 	Early_Access_Date	Source_Title 	ISSN	ISBN	Volume	Issue	Page_Start	Page_End	Supplemental_Issue	Special_Issue	Meeting_Abstract	Notes	Reference_Type	Document_Citation	CARDIA_Document_Cited	Level_of_Influence	Scopus	WOS	PubMed	Embase	ASC	CINAHL	CHC	APA_PI	CK	Uptodate	NU	PQC	WC	AHRQ	PPH	CDC	HP2020	Healthgov	MedlinePlus	NAP	OA	Dataverse	Dryad	Figshare	Mendeley_Data	OSF	Vivili	Zenodo	DigitalHub
10.1093/aje/kwt103	23720439	2-s2.0-84878479314	WOS:000319870300702			Meeting Abstract	Conference Paper	Meeting Abstract	Meeting Abstract	MS (Abstract)	CORE	"Meyer, C; Schreiner, P; Launer, L; Battapady, H; Wolfson, J"	CROSS-SECTIONAL ASSOCIATIONS OF SELF-REPORTED DEPRESSION AND RACIAL DISCRIMINATION WITH BRAIN TISSUE VOLUMES: THE CARDIA STUDY.	2013	15-Jun		AMERICAN JOURNAL OF EPIDEMIOLOGY	0002-9262		177		S178	S178	11				Embase Journal Article				1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1111/j.1471-0528.2012.03375.x	22672235	2-s2.0-84862266703	WOS:000305074900006			Meeting Abstract	Conference Paper	Meeting Abstract	Meeting Abstract	MS (Abstract)	CORE	"Ness, RB; Lewis, CE; Catov, J; Jacobs, D; Tolan, K; Gunderson, EP"	Pre-pregnancy blood pressure among women with and without preterm birth from the CARDIA cohort	2012	JUN		BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY	1470-0328		119		3	3	1	SI			Embase Journal Article				1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1038/oby.2011.222	NA	2-s2.0-80155198845	WOS:000296603100031			Meeting Abstract	Conference Paper	Meeting Abstract	Meeting Abstract	MS (Abstract)	CORE	"Boone-Heinonen, J; Diez-Roux, A; Goff, DC; Loria, CM; Kiefe, C; Graff, M; Popkin, BM; Gordon-Larsen, P"	The Neighborhood Energy Balance Equation: Does Food Environment plus Physical Activity Environment = Obesity? The CARDIA Study	2011	NOV		OBESITY	1930-7381		19		S53	S53	1				Embase Journal Article				1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1093/aje/kwr181	21661133	2-s2.0-79958292142	WOS:000294114601047			Meeting Abstract	Conference Paper	Meeting Abstract	Meeting Abstract	MS (Abstract)	CORE	"Roy, B; Lewis, CE; Diez-Roux, AV; Matthews, KE"	"EFFECT OF RACE, SEX AND INCOME ON THE ASSOCIATION OF OPTIMISM/PESSIMISM AND CHRONIC INFLAMMATION: THE CARDIA STUDY"	2011	1-Jun		AMERICAN JOURNAL OF EPIDEMIOLOGY	0002-9262		173		S192	S192	11				Embase Journal Article				1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1038/npp.2014.279	25466712	2-s2.0-84964698252	NA			Meeting Abstract	Conference Paper		Meeting Abstract	MS (Abstract)	CORE	"Yaffe, K."	The importance of risk factor modification over the lifecourse	2014			 Neuropsychopharmacology	1740634X		39		 S84					Abstract not indexed with other abstracts in WoS for journal. 	Embase Journal Article				1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1093/oxfordjourls.aje.a117312	NA	2-s2.0-77957175411	WOS:A1994PK21300017			Article	Letter	Letter	Letter	RTL	CORE	"LEWIS, CE; FUNKHOUSER, E; HILNER, JE; BRAGG, C; RACZYNSKI, JM; CAAN, B; ARMSTRONG, MA; FRIEDMAN, GD; DYER, A; SAVAGE, PJ"	INCONSISTENT ASSOCIATIONS OF CAFFEINE-CONTAINING BEVERAGES WITH BLOOD-PRESSURE AND WITH LIPOPROTEINS - THE CARDIA STUDY - REPLY	1994	1-Oct		AMERICAN JOURNAL OF EPIDEMIOLOGY	0002-9262		140	7	666	667					WOS Letter				1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1111/1471-0528.15209	29656525	2-s2.0-85045396091	WOS:000444409100039			Article	Letter	Letter	Letter	RTL	CORE	"Lane-Cordova, AD; Carnethon, MR"	"Re: Cardiorespiratory fitness, exercise haemodynamics and birth outcomes: the Coronary Artery Risk Development in Young Adults (CARDIA) Study Cardiorespiratory exercise testing years preceding pregnancy and birth outcomes: comments on heart rate recovery Reply"	2018	OCT		BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY	1470-0328		125	11	1490	1491					CINAHL Journal Article				1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.2105/AJPH.2018.304308	29513576	2-s2.0-85043261784	WOS:000440250600003			Article	Letter	Letter	Letter	RTL	CORE	"Reis, JP; Auer, R; Bancks, MP; Goff, DC; Lewis, CE; Pletcher, MJ; Rana, JS; Shikany, JM; Sidney, S"	INVESTIGATING CUMULATIVE MARIJUANA USE AND RISK OF CARDIOVASCULAR DISEASE IN MIDDLE AGE WITH LONGITUDINAL DATA RESPONSE	2018	APR		AMERICAN JOURNAL OF PUBLIC HEALTH	0090-0036		108	4	E12	E12					CINAHL Journal Article				1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1016/j.jacc.2018.01.082	NA	2-s2.0-85047144307	WOS:000433412800014			Article	Letter	Letter	Letter	MS	CORE	"Gooding, HC; Ning, HY; Gillman, MW; Allen, N; Goff, DC; Rana, JS; Chiuve, S; Lloyd-Jones, DM"	Predicting Cardiovascular Health in Coronary Artery Risk Development in Young Adults	2018	5-Jun		JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	0735-1097		71	22	2601	2602					CINAHL Journal Article				1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1016/j.jacc.2017.08.011	28982510	2-s2.0-85032386582	WOS:000411956600017			Article	Letter	Letter	Letter	LT	CORE	"Shah, R; Murthy, VL; Colangelo, LA; Reis, JP; Carr, JJ; Sidney, S; Siddique, J; Lewis, CE; Lima, JAC; Lewis, GD"	Submaximal Blood Pressure Responses to Exercise in Young Adulthood and Long-Term Cardiovascular Health	2017	10-Oct		JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	0735-1097		70	15	1941	1943					WOS Letter				1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
