Name,Rank,Web_of_Science_Documents,Times_Cited,Percent_Docs_Cited,Quartile,Five_Year_Impact_Factor,Article_Influence,Category_Normalized_Citation_Impact,Cited_Half_Life,Eigenfactor,Immediacy_Index,Impact_Factor_wo_Self_Cites,Journal_Impact_Factor,Journal_Normalized_Citation_Impact,Percent_All_Open_Access_Documents,Pecent_Bronze_Documents,Percent_DOAJ_Gold_Documents,Percent_Green_Accepted_Documents,Percent_Green_Published_Documents,Percent_Other_Gold_Documents,All_Open_Access_Documents,Bronze_Documents,DOAJ_Gold_Documents,Green_Accepted_Documents,Green_Published_Documents,Other_Gold_Documents
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,1,18,3150,88.88888889,Q1,47.677,21.712,5.057072222,10,0.29,13.545,44.379,45.54,0.738333333,77.77777778,72.22222222,0,33.33333333,11.11111111,0,14,13,0,6,2,0
AMERICAN JOURNAL OF EPIDEMIOLOGY,2,56,3021,92.85714286,Q1,5.212,2.311,1.902685714,13.1,0.0348,1.187,4.33,4.526,0.806964286,76.78571429,69.64285714,0,1.785714286,41.07142857,3.571428571,43,39,0,1,23,2
CIRCULATION,3,17,2546,100,Q1,21.054,8.609,4.368552941,11.3,0.205,7.249,22.711,23.603,1.295294118,76.47058824,52.94117647,0,47.05882353,11.76470588,0,13,9,0,8,2,0
AMERICAN JOURNAL OF PUBLIC HEALTH,4,19,2232,94.73684211,Q1,6.006,2.576,3.802447368,10,0.0585,1.46,6.069,6.464,1.771052632,100,52.63157895,0,15.78947368,100,0,19,10,0,3,19,0
AMERICAN JOURNAL OF CLINICAL NUTRITION,5,22,1408,95.45454545,Q1,7.831,2.33,2.096418182,12,0.0453,1.696,6.504,6.766,0.910909091,63.63636364,63.63636364,0,0,59.09090909,0,14,14,0,0,13,0
ARCHIVES OF INTERNAL MEDICINE,6,13,1385,100,N/A,n/a,n/a,3.456946154,n/a,n/a,n/a,n/a,n/a,0.991538462,84.61538462,84.61538462,0,38.46153846,0,0,11,11,0,5,0,0
JOURNAL OF CLINICAL EPIDEMIOLOGY,7,7,1164,100,Q1,6.234,2.509,6.106514286,11.3,0.0284,1.734,4.387,4.952,2.517142857,0,0,0,0,0,0,0,0,0,0,0,0
DIABETES CARE,8,20,1042,95,Q1,13.054,4.376,1.750095,9.1,0.0879,5.007,15.144,16.019,0.7215,95,45,0,0,75,50,19,9,0,0,15,10
PSYCHOSOMATIC MEDICINE,9,18,1034,100,Q1,4.406,1.531,1.746238889,12.9,0.0099,0.899,3.409,3.702,1.028333333,38.88888889,0,0,38.88888889,0,0,7,0,0,7,0,0
CLINICAL CHEMISTRY,10,9,809,100,Q1,7.722,2.48,4.246644444,13.4,0.0203,1.933,6.886,7.292,1.704444444,88.88888889,88.88888889,0,22.22222222,0,0,8,8,0,2,0,0
