Grant_Numbers,records,percent_of_total
N01-HC-48047,333,1.101
N01-HC-48048,322,1.064
N01-HC-48049,310,1.025
N01-HC-95095,273,0.903
N01-HC-48050,268,0.886
HHSN268201300025C,262,0.866
HHSN268200900041C,256,0.846
HHSN268201300029C,256,0.846
HHSN268201300026C,255,0.843
HHSN268201300027C,252,0.833
HHSN268201300028C,242,0.8
AG0005,229,0.757
N01-HC-95159,216,0.714
N01-HC-95169,189,0.625
N01-HC-95165,171,0.565
N01-HC-95166,141,0.466
N01-HC-95160,135,0.446
N01-HC-95161,135,0.446
N01-HC-95162,135,0.446
N01-HC-95164,135,0.446
N01-HC-95163,133,0.44
N01-HC-95168,116,0.383
N01-HC-95167,112,0.37
N01-HC-55018,96,0.317
N01-HC-55016,93,0.307
N01-HC-55015,92,0.304
UL1-TR-000040,90,0.298
N01-HC-25195,84,0.278
N01-HC-05187,80,0.264
N01-HC-55019,78,0.258
UL1-TR-001079,77,0.255
N01-HC-55020,75,0.248
HHSN268201300050C,73,0.241
N01-HC-55021,73,0.241
N01-HC-55022,73,0.241
HHSN268201300047C,72,0.238
HHSN268201300048C,71,0.235
HHSN268201300049C,71,0.235
HHSN268201300046C,70,0.231
P01-HD31921,68,0.225
N01-HC-45134,67,0.221
HHSN268201100006C,65,0.215
HHSN268201100005C,64,0.212
HHSN268201100007C,63,0.208
HHSN268201100009C,63,0.208
HHSN268201100010C,61,0.202
HHSN268201100008C,60,0.198
HHSN268201100011C,60,0.198
HHSN268201100012C,58,0.192
N01-PC-67000,57,0.188
P01-AG020166,56,0.185
CA48998,55,0.182
HHSN268201800005I,55,0.182
HHSN268201800003I,54,0.179
HHSN268201800006I,54,0.179
HHSN268201800007I,54,0.179
HHSN268201800004I,53,0.175
N01-HC-85079,51,0.169
G8802774,49,0.162
HHSN268201500003I,47,0.155
G19/35,44,0.145
N01-HC-85086,44,0.145
N01-HC-45205,43,0.142
G0100222,41,0.136
N01HC48047,41,0.136
RG/07/008/23674,40,0.132
UL1 RR024131,40,0.132
N01HC48050,39,0.129
UL1TR000124,39,0.129
N01-HC-45204,38,0.126
N01HC48048,38,0.126
N01HC95095,38,0.126
N01-HC-35129,37,0.122
N01-HC-75150,36,0.119
N01-HC-95171,36,0.119
N01HC48049,36,0.119
R01 HL053560,36,0.119
R24 HD050924,36,0.119
121584,35,0.116
N01-HC-95170,35,0.116
R01 CA048998,35,0.116
126925,34,0.112
U01 NS041588,34,0.112
HHSN268201500001I,33,0.109
CC999999,32,0.106
DK063491,32,0.106
N01-HC-45133,32,0.106
N01-HC65236,32,0.106
N01-HC65237,32,0.106
HHSN268201100046C,31,0.102
K01 DK059944,31,0.102
N01-HC-95172,31,0.102
N01-HC65235,31,0.102
AG012495,30,0.099
AG012505,30,0.099
AG012531,30,0.099
AG012535,30,0.099
AG012546,30,0.099
AG012553,30,0.099
AG012554,30,0.099
N01-AG-6-2103,30,0.099
N01-HC65233,30,0.099
N01-HC65234,30,0.099
NR004061,30,0.099
124282,29,0.096
1UL1RR025011,29,0.096
AG012539,29,0.096
G0401527,29,0.096
HHSN268201100002C,29,0.096
HHSN268201100003C,29,0.096
HHSN268201200036C,29,0.096
M01-RR00865,29,0.096
N01 HC-55222,29,0.096
U01AG012531,29,0.096
UL1-TR-001420,29,0.096
129378,28,0.093
HHSN271201100004C,28,0.093
N01HC85079,28,0.093
U01AG012505,28,0.093
U01AG012535,28,0.093
U01AG012553,28,0.093
U01AG012554,28,0.093
U01NR004061,28,0.093
HHSN268201100001C,27,0.089
N01-AG-6-2106,27,0.089
N01HC85086,27,0.089
P60MD002249,27,0.089
U01AG012495,27,0.089
U01AG012546,27,0.089
HHSN268201100004C,26,0.086
HL07560,26,0.086
N01-AG-6-2101,26,0.086
P30-AG028748,26,0.086
U01AG012539,26,0.086
UL1-RR-025005,26,0.086
AG06945,25,0.083
CA87969,25,0.083
HS06516,25,0.083
MC_U106179471,25,0.083
N01 HC-15103,25,0.083
P2C HD050924,25,0.083
41071,24,0.079
G0902037,24,0.079
HHSN268200800007C,24,0.079
N01HC55222,24,0.079
R01 CA48998,24,0.079
AG-16592,23,0.076
AG13196,23,0.076
CA61757,23,0.076
G0600705,23,0.076
HHSN268200625226C,23,0.076
HL36310,23,0.076
HL62508,23,0.076
M01-RR023942,23,0.076
N01HC85080,23,0.076
N01HC85081,23,0.076
N01HC85082,23,0.076
N01HC85083,23,0.076
N01WH22110,23,0.076
R01 HL071759,23,0.076
U01HG004402,23,0.076
32115,22,0.073
HL-38844,22,0.073
P01 HL036587,22,0.073
P60 MD002249,22,0.073
24152,21,0.069
32100-2,21,0.069
32105-6,21,0.069
32108-9,21,0.069
32111-13,21,0.069
32122,21,0.069
G03/140,21,0.069
HL65111,21,0.069
M01 RR000051,21,0.069
M01-RR00036,21,0.069
N01-HC48048,21,0.069
N01-HC95095,21,0.069
U01 HL080295,21,0.069
U01HL080295,21,0.069
UL1RR025005,21,0.069
42129-32,20,0.066
44221,20,0.066
DK056350,20,0.066
DK58845,20,0.066
ES/G007462/1,20,0.066
ES/J023299/1,20,0.066
HL65112,20,0.066
M01 RR000036,20,0.066
MR/K013351/1,20,0.066
P30 DK040561,20,0.066
R01HL087641,20,0.066
RR00051,20,0.066
T32HL069771,20,0.066
15SFRN2390002,19,0.063
42107-26,19,0.063
CA55075,19,0.063
HL74814,19,0.063
K24-HL125704,19,0.063
M01 RR000052,19,0.063
M01 RR000054,19,0.063
N01-HC-85080,19,0.063
N01-HC-85081,19,0.063
N01-HC48047,19,0.063
N01-HC48049,19,0.063
R01 DK057508,19,0.063
R01 HL074814,19,0.063
R01HL086694,19,0.063
R01HL59367,19,0.063
32118-32119,18,0.06
HHSN268201700001I,18,0.06
HHSN268201700003I,18,0.06
HHSN268201700004I,18,0.06
M01 RR000865,18,0.06
P01 AG020166,18,0.06
R01 DK090047,18,0.06
R01AG034454,18,0.06
RR00052,18,0.06
10-000-1002,17,0.056
117787,17,0.056
121,17,0.056
DK46200,17,0.056
HHSN268201700005I,17,0.056
M01 RR000083,17,0.056
MC_UU_12015/1,17,0.056
N01-HC-85083,17,0.056
N01HC95159,17,0.056
P30ES010126,17,0.056
R01AG023629,17,0.056
R01HL081572,17,0.056
R01HL104580,17,0.056
RR00054,17,0.056
RR00083,17,0.056
CA078552,16,0.053
CA078802,16,0.053
G1000143,16,0.053
HL080295,16,0.053
HL35464,16,0.053
KL2TR001424,16,0.053
MC_U130059821,16,0.053
R01-HL-53560,16,0.053
RR0636,16,0.053
134309,15,0.05
CA50385,15,0.05
HL38844,15,0.05
MC_U106179473,15,0.05
MC_UU_12015/5,15,0.05
N01-HC-65226,15,0.05
N01-HC-85082,15,0.05
N01-HC-85085,15,0.05
N01-HC48050,15,0.05
P20GM109036,15,0.05
P30DK56350,15,0.05
R01 CA085846,15,0.05
R01 HL078972,15,0.05
R01-HD30880,15,0.05
RD06/0045,15,0.05
RR00865,15,0.05
U54MD008176,15,0.05
UL1RR024134,15,0.05
UM1 CA176726,15,0.05
01 06 0115.00 SP,14,0.046
DA02277,14,0.046
DK56350,14,0.046
ES/J019119/1,14,0.046
HI13C0715,14,0.046
HL076852,14,0.046
HL25767,14,0.046
K013351,14,0.046
K07CA126837,14,0.046
N01-HV-68162,14,0.046
N01-HV-68163,14,0.046
R01 CA048998-10,14,0.046
R01 HL074814-07,14,0.046
