Organizations_Enhanced,records,percent_of_total
UNIVERSITY OF CALIFORNIA SYSTEM,2244,7.418
HARVARD UNIVERSITY,1868,6.175
UNIVERSITY OF MINNESOTA SYSTEM,1190,3.934
UNIVERSITY OF MINNESOTA TWIN CITIES,1186,3.921
NATIONAL INSTITUTES OF HEALTH NIH USA,1179,3.898
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE,1142,3.775
NORTHWESTERN UNIVERSITY,1057,3.494
JOHNS HOPKINS UNIVERSITY,1002,3.313
UNIVERSITY OF NORTH CAROLINA,993,3.283
UNIVERSITY OF ALABAMA SYSTEM,911,3.012
UNIVERSITY OF ALABAMA BIRMINGHAM,870,2.876
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,868,2.87
UNIVERSITY OF TEXAS SYSTEM,843,2.787
UNIVERSITY OF PITTSBURGH,834,2.757
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,812,2.684
HARVARD T H CHAN SCHOOL OF PUBLIC HEALTH,805,2.661
US DEPARTMENT OF VETERANS AFFAIRS,803,2.655
BRIGHAM WOMEN S HOSPITAL,797,2.635
UNIVERSITY OF WASHINGTON,795,2.628
VETERANS HEALTH ADMINISTRATION VHA,792,2.618
UNIVERSITY OF WASHINGTON SEATTLE,778,2.572
UNIVERSITY OF LONDON,748,2.473
UNIVERSITY OF MICHIGAN,740,2.446
UNIVERSITY OF MICHIGAN SYSTEM,740,2.446
COLUMBIA UNIVERSITY,701,2.317
UNIVERSITY OF CALIFORNIA LOS ANGELES,692,2.288
FEINBERG SCHOOL OF MEDICINE,670,2.215
KAISER PERMANENTE,633,2.093
WAKE FOREST UNIVERSITY,518,1.712
NIH NATIONAL HEART LUNG BLOOD INSTITUTE NHLBI,492,1.627
DUKE UNIVERSITY,470,1.554
UNIVERSITY COLLEGE LONDON,452,1.494
UNIVERSITY OF PENNSYLVANIA,452,1.494
BOSTON UNIVERSITY,436,1.441
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE INSERM,425,1.405
UNIVERSITY OF TORONTO,409,1.352
STATE UNIVERSITY SYSTEM OF FLORIDA,403,1.332
EMORY UNIVERSITY,398,1.316
JOHNS HOPKINS BLOOMBERG SCHOOL OF PUBLIC HEALTH,389,1.286
UNIVERSITY OF COLORADO SYSTEM,381,1.26
STANFORD UNIVERSITY,372,1.23
UNIVERSITY OF CALIFORNIA SAN DIEGO,367,1.213
UNIVERSITY OF ILLINOIS SYSTEM,366,1.21
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM,361,1.193
UTAH SYSTEM OF HIGHER EDUCATION,343,1.134
HARVARD MEDICAL SCHOOL,336,1.111
CENTERS FOR DISEASE CONTROL PREVENTION USA,335,1.107
MASSACHUSETTS GENERAL HOSPITAL,333,1.101
UNIVERSITY OF UTAH,331,1.094
VANDERBILT UNIVERSITY,321,1.061
MAYO CLINIC,318,1.051
UNIVERSITY OF OSLO,315,1.041
UNIVERSITY OF SYDNEY,311,1.028
JOHNS HOPKINS MEDICINE,292,0.965
YALE UNIVERSITY,289,0.955
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON,287,0.949
UNIVERSITY OF COLORADO ANSCHUTZ MEDICAL CAMPUS,283,0.936
UNIVERSITY OF WISCONSIN SYSTEM,281,0.929
UNIVERSITY OF HELSINKI,279,0.922
UNIVERSITY OF ILLINOIS CHICAGO,275,0.909
KAROLINSKA INSTITUTET,273,0.903
UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL,272,0.899
UNIVERSITY OF MASSACHUSETTS SYSTEM,267,0.883
UNIVERSITY OF COPENHAGEN,264,0.873
CIBER CENTRO DE INVESTIGACION BIOMEDICA EN RED,260,0.86
UNIVERSITY OF MISSISSIPPI,260,0.86
IMPERIAL COLLEGE LONDON,256,0.846
PENNSYLVANIA STATE UNIVERSITY,255,0.843
DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA,252,0.833
UNIVERSITY SYSTEM OF MARYLAND,250,0.826
UNIVERSITY OF SOUTHERN CALIFORNIA,248,0.82
BROWN UNIVERSITY,247,0.817
UNIVERSITY OF WISCONSIN MADISON,246,0.813
UNIVERSITY OF CHICAGO,242,0.8
UNIVERSITY SYSTEM OF GEORGIA,239,0.79
UNIVERSITY OF SOUTH CAROLINA COLUMBIA,237,0.783
UNIVERSITY OF SOUTH CAROLINA SYSTEM,237,0.783
TUFTS UNIVERSITY,236,0.78
ASSISTANCE PUBLIQUE HOPITAUX PARIS APHP,230,0.76
BAYLOR COLLEGE OF MEDICINE,228,0.754
OHIO STATE UNIVERSITY,227,0.75
WASHINGTON UNIVERSITY WUSTL,227,0.75
TULANE UNIVERSITY,226,0.747
UNIVERSITY OF OXFORD,225,0.744
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,224,0.741
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,221,0.731
CORNELL UNIVERSITY,218,0.721
UNIVERSITY OF MELBOURNE,217,0.717
UNIVERSIDADE DE SAO PAULO,215,0.711
NEW YORK UNIVERSITY,213,0.704
UNIVERSITY OF MIAMI,212,0.701
UNIVERSITY OF CALIFORNIA DAVIS,211,0.698
VRIJE UNIVERSITEIT AMSTERDAM,211,0.698
CALIFORNIA STATE UNIVERSITY SYSTEM,210,0.694
FINLAND NATIONAL INSTITUTE FOR HEALTH WELFARE,208,0.688
UNIVERSITY OF QUEENSLAND,206,0.681
ERASMUS UNIVERSITY ROTTERDAM,198,0.655
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER DALLAS,197,0.651
UNIVERSITY OF CAMBRIDGE,196,0.648
BETH ISRAEL DEACONESS MEDICAL CENTER,195,0.645
UNIVERSITY OF CALIFORNIA BERKELEY,195,0.645
UNIVERSITY OF TENNESSEE SYSTEM,195,0.645
FRED HUTCHINSON CANCER CENTER,192,0.635
INDIANA UNIVERSITY SYSTEM,192,0.635
MCGILL UNIVERSITY,191,0.631
UNITED STATES DEPARTMENT OF AGRICULTURE USDA,191,0.631
UNIVERSITY OF AMSTERDAM,191,0.631
UNIVERSITY OF BRITISH COLUMBIA,191,0.631
NIH NATIONAL INSTITUTE ON AGING NIA,188,0.622
UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICINE,185,0.612
WAKE FOREST BAPTIST MEDICAL CENTER,184,0.608
UNIVERSITY OF CALIFORNIA IRVINE,183,0.605
UTRECHT UNIVERSITY,183,0.605
UNIVERSITY OF VERMONT,182,0.602
RUTGERS STATE UNIVERSITY NEW BRUNSWICK,179,0.592
ERASMUS MC,178,0.588
UNIVERSITY OF IOWA,176,0.582
UNIVERSITY OF MONTREAL,172,0.569
WAYNE STATE UNIVERSITY,172,0.569
CASE WESTERN RESERVE UNIVERSITY,170,0.562
YESHIVA UNIVERSITY,170,0.562
BOSTON CHILDREN S HOSPITAL,168,0.555
PENNSYLVANIA STATE UNIVERSITY UNIVERSITY PARK,168,0.555
KING S COLLEGE LONDON,167,0.552
SEOUL NATIONAL UNIVERSITY SNU,166,0.549
UNIVERSITY OF FLORIDA,166,0.549
NIH NATIONAL CANCER INSTITUTE NCI,165,0.545
UNIVERSITY OF ARIZONA,165,0.545
UNIVERSITY OF TURKU,164,0.542
HELMHOLTZ ASSOCIATION,162,0.536
UNIVERSITY OF MASSACHUSETTS WORCESTER,162,0.536
PENNINGTON BIOMEDICAL RESEARCH CENTER,160,0.529
UNIVERSITY OF LOUISIANA LAFAYETTE,160,0.529
UNIVERSITY OF VIRGINIA,155,0.512
UNIVERSITY OF GLASGOW,154,0.509
UNIVERSITY OF SOUTH CAROLINA,153,0.506
LUND UNIVERSITY,152,0.502
MONASH UNIVERSITY,152,0.502
GEORGE WASHINGTON UNIVERSITY,151,0.499
ROLLINS SCHOOL PUBLIC HEALTH,151,0.499
FRAMINGHAM HEART STUDY,150,0.496
NATIONAL KAPODISTRIAN UNIVERSITY OF ATHENS,150,0.496
UNIVERSITY OF COLORADO DENVER,150,0.496
LAVAL UNIVERSITY,146,0.483
RUSH UNIVERSITY,145,0.479
UNIVERSITE DE PARIS,143,0.473
UNIVERSITY OF GRONINGEN,140,0.463
UNIVERSITY OF MISSOURI SYSTEM,140,0.463
MAASTRICHT UNIVERSITY,139,0.46
UNIVERSITY OF TEXAS AUSTIN,139,0.46
ALBERT EINSTEIN COLLEGE OF MEDICINE,138,0.456
SUNGKYUNKWAN UNIVERSITY SKKU,138,0.456
HUMBOLDT UNIVERSITY OF BERLIN,136,0.45
UNIVERSITY OF BIRMINGHAM,136,0.45
UNIVERSITY OF BRISTOL,136,0.45
FREE UNIVERSITY OF BERLIN,135,0.446
MICHIGAN STATE UNIVERSITY,135,0.446
SAN DIEGO STATE UNIVERSITY,135,0.446
UNIVERSITY OF MARYLAND BALTIMORE,135,0.446
DEAKIN UNIVERSITY,133,0.44
DREXEL UNIVERSITY,133,0.44
UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,133,0.44
UTRECHT UNIVERSITY MEDICAL CENTER,133,0.44
VIRGINIA COMMONWEALTH UNIVERSITY,133,0.44
ACADEMIC MEDICAL CENTER AMSTERDAM,132,0.436
YONSEI UNIVERSITY,132,0.436
UNIVERSITY OF WESTERN AUSTRALIA,131,0.433
ARIZONA STATE UNIVERSITY,130,0.43
CHARITE MEDICAL UNIVERSITY OF BERLIN,130,0.43
CLEVELAND CLINIC FOUNDATION,130,0.43
SORBONNE UNIVERSITE,130,0.43
STATE UNIVERSITY OF NEW YORK SUNY BUFFALO,130,0.43
AARHUS UNIVERSITY,128,0.423
