Source_Titles,records,percent_of_total
PLOS ONE,592,1.957
AMERICAN JOURNAL OF EPIDEMIOLOGY,327,1.081
AMERICAN JOURNAL OF CLINICAL NUTRITION,310,1.025
CIRCULATION,288,0.952
INTERNATIONAL JOURNAL OF OBESITY,271,0.896
OBESITY,255,0.843
ATHEROSCLEROSIS,246,0.813
HYPERTENSION,245,0.81
PSYCHOSOMATIC MEDICINE,244,0.807
AMERICAN JOURNAL OF PUBLIC HEALTH,236,0.78
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,218,0.721
NUTRIENTS,217,0.717
DIABETES CARE,216,0.714
SOCIAL SCIENCE MEDICINE,215,0.711
BMC PUBLIC HEALTH,213,0.704
PREVENTIVE MEDICINE,207,0.684
JOURNAL OF THE AMERICAN HEART ASSOCIATION,205,0.678
SLEEP,195,0.645
JOURNAL OF HYPERTENSION,189,0.625
PUBLIC HEALTH NUTRITION,174,0.575
BRITISH JOURNAL OF NUTRITION,167,0.552
JOURNAL OF CLINICAL ENDOCRINOLOGY METABOLISM,164,0.542
AMERICAN JOURNAL OF CARDIOLOGY,161,0.532
AMERICAN JOURNAL OF HYPERTENSION,161,0.532
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,161,0.532
ANNALS OF EPIDEMIOLOGY,145,0.479
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,144,0.476
SCIENTIFIC REPORTS,133,0.44
JOURNAL OF NUTRITION,132,0.436
INTERNATIONAL JOURNAL OF CARDIOLOGY,129,0.426
JAMA JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,129,0.426
EUROPEAN JOURNAL OF CLINICAL NUTRITION,126,0.417
HEALTH PSYCHOLOGY,124,0.41
SLEEP MEDICINE,121,0.4
PSYCHONEUROENDOCRINOLOGY,120,0.397
MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,117,0.387
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,116,0.383
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,113,0.374
ETHNICITY DISEASE,104,0.344
BMJ OPEN,99,0.327
HEALTH PLACE,97,0.321
METABOLISM CLINICAL AND EXPERIMENTAL,97,0.321
ARCHIVES OF INTERNAL MEDICINE,94,0.311
JOURNAL OF WOMENS HEALTH,91,0.301
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,91,0.301
ANNALS OF BEHAVIORAL MEDICINE,90,0.298
NICOTINE TOBACCO RESEARCH,89,0.294
DIABETOLOGIA,88,0.291
OBESITY REVIEWS,88,0.291
JOURNAL OF THE AMERICAN DIETETIC ASSOCIATION,87,0.288
EUROPEAN JOURNAL OF NUTRITION,85,0.281
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,85,0.281
JOURNAL OF HUMAN HYPERTENSION,85,0.281
AMERICAN JOURNAL OF KIDNEY DISEASES,83,0.274
CANCER EPIDEMIOLOGY BIOMARKERS PREVENTION,81,0.268
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,79,0.261
OBESITY RESEARCH,78,0.258
EUROPEAN HEART JOURNAL,77,0.255
APPETITE,76,0.251
BRAIN BEHAVIOR AND IMMUNITY,75,0.248
AMERICAN HEART JOURNAL,73,0.241
INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,72,0.238
EUROPEAN JOURNAL OF PREVENTIVE CARDIOLOGY,71,0.235
JOURNAL OF CLINICAL HYPERTENSION,70,0.231
CHEST,67,0.221
NUTRITION,66,0.218
JOURNAL OF PEDIATRICS,64,0.212
STROKE,63,0.208
DIABETES RESEARCH AND CLINICAL PRACTICE,62,0.205
JOURNAL OF BEHAVIORAL MEDICINE,62,0.205
PEDIATRICS,62,0.205
DRUG AND ALCOHOL DEPENDENCE,61,0.202
SLEEP HEALTH,60,0.198
HYPERTENSION RESEARCH,59,0.195
JOURNAL OF LIPID RESEARCH,59,0.195
AMERICAN JOURNAL OF HUMAN BIOLOGY,58,0.192
CURRENT HYPERTENSION REPORTS,57,0.188
JOURNAL OF THE ACADEMY OF NUTRITION AND DIETETICS,56,0.185
NUTRITION REVIEWS,56,0.185
CLINICAL CHEMISTRY,55,0.182
NUTRITION RESEARCH,55,0.182
AMERICAN JOURNAL OF MEDICINE,54,0.179
CLINICAL JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,54,0.179
JOURNAL OF AFFECTIVE DISORDERS,54,0.179
JOURNAL OF URBAN HEALTH BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,54,0.179
MEDICINE,54,0.179
MENOPAUSE THE JOURNAL OF THE NORTH AMERICAN MENOPAUSE SOCIETY,54,0.179
ANNALS OF INTERNAL MEDICINE,52,0.172
CARDIOVASCULAR DIABETOLOGY,52,0.172
JOURNAL OF PSYCHOSOMATIC RESEARCH,52,0.172
JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION,52,0.172
ADDICTIVE BEHAVIORS,51,0.169
EUROPEAN RESPIRATORY JOURNAL,51,0.169
JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,51,0.169
LIPIDS IN HEALTH AND DISEASE,51,0.169
MATERNAL AND CHILD HEALTH JOURNAL,51,0.169
CANCER CAUSES CONTROL,50,0.165
CIRCULATION CARDIOVASCULAR GENETICS,50,0.165
JOURNAL OF INTERNAL MEDICINE,50,0.165
JOURNAL OF SLEEP RESEARCH,50,0.165
METABOLIC SYNDROME AND RELATED DISORDERS,50,0.165
JOURNAL OF ADOLESCENT HEALTH,49,0.162
KIDNEY INTERNATIONAL,49,0.162
PROGRESS IN CARDIOVASCULAR DISEASES,49,0.162
CLINICA CHIMICA ACTA,48,0.159
CURRENT PHARMACEUTICAL DESIGN,48,0.159
HEART,48,0.159
JOURNAL OF PHYSICAL ACTIVITY HEALTH,48,0.159
PHYSIOLOGY BEHAVIOR,48,0.159
PSYCHOPHYSIOLOGY,48,0.159
ENVIRONMENTAL RESEARCH,47,0.155
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,47,0.155
JOURNAL OF ASTHMA,47,0.155
JOURNAL OF RACIAL AND ETHNIC HEALTH DISPARITIES,47,0.155
BMC CARDIOVASCULAR DISORDERS,46,0.152
EUROPEAN JOURNAL OF EPIDEMIOLOGY,46,0.152
MAYO CLINIC PROCEEDINGS,46,0.152
ADDICTION,45,0.149
AMERICAN JOURNAL OF HEALTH BEHAVIOR,45,0.149
ENVIRONMENTAL HEALTH PERSPECTIVES,45,0.149
INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,45,0.149
RESPIRATORY MEDICINE,45,0.149
AMERICAN JOURNAL OF HEALTH PROMOTION,44,0.145
DIABETIC MEDICINE,44,0.145
JOURNAL OF CLINICAL SLEEP MEDICINE,44,0.145
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,44,0.145
NUTRICION HOSPITALARIA,44,0.145
PREVENTING CHRONIC DISEASE,44,0.145
DIABETES,43,0.142
JOURNAL OF CLINICAL EPIDEMIOLOGY,43,0.142
NUTRITION JOURNAL,43,0.142
ENVIRONMENT INTERNATIONAL,42,0.139
JOURNAL OF IMMIGRANT AND MINORITY HEALTH,42,0.139
ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,41,0.136
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,41,0.136
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,41,0.136
MEDICAL HYPOTHESES,41,0.136
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,40,0.132
CIRCULATION RESEARCH,40,0.132
NEW ENGLAND JOURNAL OF MEDICINE,40,0.132
PSYCHIATRY RESEARCH,40,0.132
AMERICAN JOURNAL OF PHYSIOLOGY HEART AND CIRCULATORY PHYSIOLOGY,39,0.129
ETHNICITY HEALTH,39,0.129
JOURNAL OF THE AMERICAN SOCIETY OF HYPERTENSION,39,0.129
PROCEEDINGS OF THE NUTRITION SOCIETY,39,0.129
ARQUIVOS BRASILEIROS DE CARDIOLOGIA,38,0.126
CLINICAL ENDOCRINOLOGY,38,0.126
CURRENT OPINION IN LIPIDOLOGY,38,0.126
EPIDEMIOLOGY,38,0.126
NEPHROLOGY DIALYSIS TRANSPLANTATION,38,0.126
NEUROLOGY,38,0.126
BIOLOGICAL PSYCHOLOGY,37,0.122
CURRENT OPINION IN CARDIOLOGY,37,0.122
JOURNAL OF APPLIED PHYSIOLOGY,37,0.122
ADVANCES IN NUTRITION,36,0.119
JOURNAL OF CLINICAL LIPIDOLOGY,36,0.119
OBSTETRICS AND GYNECOLOGY,36,0.119
JAMA CARDIOLOGY,35,0.116
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,35,0.116
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,35,0.116
ANNALS OF MEDICINE,34,0.112
CIRCULATION HEART FAILURE,34,0.112
CLINICAL AND EXPERIMENTAL HYPERTENSION,34,0.112
CONTEMPORARY CLINICAL TRIALS,34,0.112
EUROPEAN JOURNAL OF ENDOCRINOLOGY,34,0.112
JOURNAL OF GENERAL INTERNAL MEDICINE,34,0.112
CIRCULATION JOURNAL,33,0.109
CLINICAL NUTRITION,33,0.109
CURRENT ATHEROSCLEROSIS REPORTS,33,0.109
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,33,0.109
JOURNAL OF EPIDEMIOLOGY,33,0.109
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,33,0.109
REVISTA ESPANOLA DE CARDIOLOGIA,33,0.109
SLEEP MEDICINE REVIEWS,33,0.109
CANADIAN JOURNAL OF CARDIOLOGY,32,0.106
LANCET,32,0.106
MATURITAS,32,0.106
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,32,0.106
PLOS MEDICINE,32,0.106
PUBLIC HEALTH,32,0.106
THROMBOSIS AND HAEMOSTASIS,32,0.106
BEHAVIORAL SLEEP MEDICINE,31,0.102
BLOOD PRESSURE,31,0.102
CIRCULATION CARDIOVASCULAR IMAGING,31,0.102
CURRENT DIABETES REPORTS,31,0.102
FERTILITY AND STERILITY,31,0.102
INTERNATIONAL JOURNAL OF CANCER,31,0.102
JOURNAL OF CARDIOVASCULAR NURSING,31,0.102
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,31,0.102
DIABETES METABOLISM RESEARCH AND REVIEWS,30,0.099
EUROPEAN JOURNAL OF PUBLIC HEALTH,30,0.099
JOURNALS OF GERONTOLOGY SERIES A BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,30,0.099
KARDIOLOGIYA,30,0.099
JOURNAL OF CLINICAL MEDICINE,29,0.096
JOURNAL OF DIABETES AND ITS COMPLICATIONS,29,0.096
OBESITY RESEARCH CLINICAL PRACTICE,29,0.096
SUBSTANCE USE MISUSE,29,0.096
ALCOHOLISM CLINICAL AND EXPERIMENTAL RESEARCH,28,0.093
AMERICAN JOURNAL OF THE MEDICAL SCIENCES,28,0.093
BMJ BRITISH MEDICAL JOURNAL,28,0.093
DIABETOLOGY METABOLIC SYNDROME,28,0.093
EUROPEAN JOURNAL OF CARDIOVASCULAR PREVENTION REHABILITATION,28,0.093
JOURNAL OF ALZHEIMERS DISEASE,28,0.093
JOURNAL OF AMERICAN COLLEGE HEALTH,28,0.093
JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED,28,0.093
JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,28,0.093
OSTEOPOROSIS INTERNATIONAL,28,0.093
WOMENS HEALTH ISSUES,28,0.093
ANNALS OF NUTRITION AND METABOLISM,27,0.089
BRITISH JOURNAL OF SPORTS MEDICINE,27,0.089
INTERNATIONAL JOURNAL OF EATING DISORDERS,27,0.089
JAIDS JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,27,0.089
JOURNAL OF HUMAN NUTRITION AND DIETETICS,27,0.089
PEDIATRIC NEPHROLOGY,27,0.089
BIOMED RESEARCH INTERNATIONAL,26,0.086
ENDOCRINE,26,0.086
JACC CARDIOVASCULAR IMAGING,26,0.086
JAMA INTERNAL MEDICINE,26,0.086
JOURNAL OF ATHEROSCLEROSIS AND THROMBOSIS,26,0.086
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,26,0.086
NUTRITION AND CANCER AN INTERNATIONAL JOURNAL,26,0.086
SSM POPULATION HEALTH,26,0.086
ANGIOLOGY,25,0.083
ARCHIVES OF PEDIATRICS ADOLESCENT MEDICINE,25,0.083
CADERNOS DE SAUDE PUBLICA,25,0.083
CHINESE MEDICAL JOURNAL,25,0.083
CLINICAL CARDIOLOGY,25,0.083
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,25,0.083
DEVELOPMENT AND PSYCHOPATHOLOGY,25,0.083
ECHOCARDIOGRAPHY A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,25,0.083
EUROPEAN HEART JOURNAL CARDIOVASCULAR IMAGING,25,0.083
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,25,0.083
MEDICINA CLINICA,25,0.083
SOUTHERN MEDICAL JOURNAL,25,0.083
TOBACCO CONTROL,25,0.083
CANCER,24,0.079
CURRENT CARDIOLOGY REPORTS,24,0.079
DIABETES METABOLISM,24,0.079
HEALTH EDUCATION BEHAVIOR,24,0.079
JACC HEART FAILURE,24,0.079
JOURNAL OF CARDIOVASCULAR TRANSLATIONAL RESEARCH,24,0.079
JOURNAL OF HEALTH PSYCHOLOGY,24,0.079
JOURNAL OF RENAL NUTRITION,24,0.079
JOURNALS OF GERONTOLOGY SERIES B PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,24,0.079
OBESITY FACTS,24,0.079
PSYCHOLOGICAL MEDICINE,24,0.079
ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION,23,0.076
CLINICAL BIOCHEMISTRY,23,0.076
FREE RADICAL BIOLOGY AND MEDICINE,23,0.076
GENE,23,0.076
INTERNATIONAL JOURNAL OF PUBLIC HEALTH,23,0.076
JOURNAL OF COMMUNITY HEALTH,23,0.076
JOURNAL OF KOREAN MEDICAL SCIENCE,23,0.076
THORAX,23,0.076
AMERICAN JOURNAL OF NEPHROLOGY,22,0.073
ANNUAL REVIEW OF PUBLIC HEALTH,22,0.073
CHRONOBIOLOGY INTERNATIONAL,22,0.073
FRONTIERS IN ENDOCRINOLOGY,22,0.073
HUMAN MOLECULAR GENETICS,22,0.073
INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,22,0.073
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,22,0.073
JOURNAL OF CARDIOLOGY,22,0.073
JOURNAL OF PEDIATRIC ENDOCRINOLOGY METABOLISM,22,0.073
NATURE REVIEWS CARDIOLOGY,22,0.073
OBESITY SURGERY,22,0.073
SLEEP AND BREATHING,22,0.073
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,22,0.073
STRESS THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,22,0.073
TRENDS IN CARDIOVASCULAR MEDICINE,22,0.073
AMERICAN PSYCHOLOGIST,21,0.069
BIOLOGICAL PSYCHIATRY,21,0.069
BMC MEDICAL GENETICS,21,0.069
BMC PREGNANCY AND CHILDBIRTH,21,0.069
BONE,21,0.069
CANADIAN JOURNAL OF PUBLIC HEALTH REVUE CANADIENNE DE SANTE PUBLIQUE,21,0.069
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,21,0.069
CLINICAL SCIENCE,21,0.069
CULTURAL DIVERSITY ETHNIC MINORITY PSYCHOLOGY,21,0.069
ECONOMICS HUMAN BIOLOGY,21,0.069
EPIDEMIOLOGIC REVIEWS,21,0.069
HEPATOLOGY,21,0.069
JOURNAL OF DIABETES,21,0.069
JOURNAL OF DIABETES RESEARCH,21,0.069
NUTRITION RESEARCH REVIEWS,21,0.069
PSYCHOLOGICAL BULLETIN,21,0.069
PUBLIC HEALTH REPORTS,21,0.069
WOMEN HEALTH,21,0.069
WOODHEAD PUBLISHING SERIES IN FOOD SCIENCE TECHNOLOGY AND NUTRITION,21,0.069
ACTA DIABETOLOGICA,20,0.066
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,20,0.066
BMC NEPHROLOGY,20,0.066
CIRCULATION CARDIOVASCULAR QUALITY AND OUTCOMES,20,0.066
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,20,0.066
EUROPEAN JOURNAL OF HEART FAILURE,20,0.066
GYNECOLOGICAL ENDOCRINOLOGY,20,0.066
HUMAN GENETICS,20,0.066
JOURNAL OF TRANSPORT HEALTH,20,0.066
NUTRITION METABOLISM,20,0.066
OBESITY SCIENCE PRACTICE,20,0.066
OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,20,0.066
THROMBOSIS RESEARCH,20,0.066
ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY,19,0.063
ANNALS OF THE AMERICAN THORACIC SOCIETY,19,0.063
BLOOD PRESSURE MONITORING,19,0.063
CURRENT VASCULAR PHARMACOLOGY,19,0.063
ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,19,0.063
FRONTIERS IN PHYSIOLOGY,19,0.063
FRONTIERS IN PSYCHOLOGY,19,0.063
HERZ,19,0.063
HORMONE AND METABOLIC RESEARCH,19,0.063
JOURNAL OF STUDIES ON ALCOHOL AND DRUGS,19,0.063
MEDICAL CARE,19,0.063
MOLECULAR NUTRITION FOOD RESEARCH,19,0.063
AIDS,18,0.06
BIOLOGICAL TRACE ELEMENT RESEARCH,18,0.06
CORONARY ARTERY DISEASE,18,0.06
CURRENT OBESITY REPORTS,18,0.06
DIABETES METABOLIC SYNDROME CLINICAL RESEARCH REVIEWS,18,0.06
EUROPEAN JOURNAL OF HUMAN GENETICS,18,0.06
JOURNAL OF BIOLOGICAL CHEMISTRY,18,0.06
JOURNAL OF BLACK PSYCHOLOGY,18,0.06
JOURNAL OF NUTRITIONAL BIOCHEMISTRY,18,0.06
MEDICAL SCIENCE MONITOR,18,0.06
SCANDINAVIAN JOURNAL OF CLINICAL LABORATORY INVESTIGATION,18,0.06
ACTA CARDIOLOGICA,17,0.056
ANATOLIAN JOURNAL OF CARDIOLOGY,17,0.056
ANNALS OF HUMAN BIOLOGY,17,0.056
ANNALS OF THE RHEUMATIC DISEASES,17,0.056
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,17,0.056
BMC MEDICINE,17,0.056
CARDIOVASCULAR RESEARCH,17,0.056
EATING BEHAVIORS,17,0.056
EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,17,0.056
GENETIC EPIDEMIOLOGY,17,0.056
INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,17,0.056
INTERNATIONAL JOURNAL OF ENDOCRINOLOGY,17,0.056
JOURNAL OF AGING AND HEALTH,17,0.056
JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH,17,0.056
JOURNAL OF CLINICAL PSYCHIATRY,17,0.056
JOURNAL OF RHEUMATOLOGY,17,0.056
MILITARY MEDICINE,17,0.056
PSYCHOLOGY HEALTH,17,0.056
SLEEP AND BIOLOGICAL RHYTHMS,17,0.056
TERAPEVTICHESKII ARKHIV,17,0.056
AMERICAN JOURNAL OF HUMAN GENETICS,16,0.053
AMERICAN JOURNAL OF PHYSIOLOGY REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,16,0.053
ANNALS OF CLINICAL BIOCHEMISTRY,16,0.053
BIOLOGICAL RESEARCH FOR NURSING,16,0.053
BJOG AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,16,0.053
CLINICAL AND EXPERIMENTAL ALLERGY,16,0.053
CURRENT CARDIOVASCULAR RISK REPORTS,16,0.053
CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,16,0.053
DIABETES OBESITY METABOLISM,16,0.053
ENDOCRINE REVIEWS,16,0.053
HEALTH AFFAIRS,16,0.053
HEART LUNG AND CIRCULATION,16,0.053
INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,16,0.053
