Web_of_Science_Categories,records,percent_of_total
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,4781,15.805
CARDIAC CARDIOVASCULAR SYSTEMS,3554,11.749
NUTRITION DIETETICS,3530,11.67
ENDOCRINOLOGY METABOLISM,3108,10.275
MEDICINE GENERAL INTERNAL,2388,7.894
PERIPHERAL VASCULAR DISEASE,2241,7.409
PSYCHIATRY,1503,4.969
NEUROSCIENCES,1159,3.832
CLINICAL NEUROLOGY,1066,3.524
BIOCHEMISTRY MOLECULAR BIOLOGY,857,2.833
MULTIDISCIPLINARY SCIENCES,856,2.83
PSYCHOLOGY,800,2.645
MEDICINE RESEARCH EXPERIMENTAL,788,2.605
PHARMACOLOGY PHARMACY,757,2.503
OBSTETRICS GYNECOLOGY,686,2.268
PEDIATRICS,672,2.222
PSYCHOLOGY MULTIDISCIPLINARY,668,2.208
UROLOGY NEPHROLOGY,668,2.208
PSYCHOLOGY CLINICAL,641,2.119
RESPIRATORY SYSTEM,597,1.974
PHYSIOLOGY,582,1.924
GENETICS HEREDITY,557,1.841
SUBSTANCE ABUSE,519,1.716
SPORT SCIENCES,485,1.603
ONCOLOGY,479,1.584
ENVIRONMENTAL SCIENCES,460,1.521
IMMUNOLOGY,437,1.445
FOOD SCIENCE TECHNOLOGY,358,1.184
HEMATOLOGY,354,1.17
HEALTH CARE SCIENCES SERVICES,351,1.16
GERIATRICS GERONTOLOGY,349,1.154
SOCIAL SCIENCES BIOMEDICAL,347,1.147
NURSING,328,1.084
CELL BIOLOGY,326,1.078
BEHAVIORAL SCIENCES,317,1.048
HEALTH POLICY SERVICES,278,0.919
RADIOLOGY NUCLEAR MEDICINE MEDICAL IMAGING,254,0.84
TOXICOLOGY,252,0.833
MEDICAL LABORATORY TECHNOLOGY,237,0.783
GASTROENTEROLOGY HEPATOLOGY,236,0.78
SURGERY,219,0.724
PSYCHOLOGY SOCIAL,218,0.721
PSYCHOLOGY DEVELOPMENTAL,207,0.684
ALLERGY,195,0.645
GERONTOLOGY,194,0.641
SOCIOLOGY,194,0.641
PSYCHOLOGY BIOLOGICAL,190,0.628
CRITICAL CARE MEDICINE,188,0.622
WOMEN S STUDIES,185,0.612
BIOLOGY,178,0.588
RHEUMATOLOGY,159,0.526
PSYCHOLOGY EXPERIMENTAL,146,0.483
BIOTECHNOLOGY APPLIED MICROBIOLOGY,139,0.46
INFECTIOUS DISEASES,128,0.423
SOCIAL SCIENCES INTERDISCIPLINARY,128,0.423
ANTHROPOLOGY,125,0.413
ETHNIC STUDIES,116,0.383
ECONOMICS,115,0.38
PRIMARY HEALTH CARE,101,0.334
PSYCHOLOGY APPLIED,97,0.321
REPRODUCTIVE BIOLOGY,97,0.321
TRANSPLANTATION,97,0.321
EDUCATION EDUCATIONAL RESEARCH,84,0.278
BIOPHYSICS,83,0.274
CHEMISTRY MEDICINAL,79,0.261
CHEMISTRY MULTIDISCIPLINARY,79,0.261
REHABILITATION,79,0.261
SOCIAL WORK,72,0.238
PATHOLOGY,70,0.231
ORTHOPEDICS,69,0.228
FAMILY STUDIES,67,0.221
DEMOGRAPHY,60,0.198
MEDICAL INFORMATICS,59,0.195
MATHEMATICAL COMPUTATIONAL BIOLOGY,54,0.179
INTEGRATIVE COMPLEMENTARY MEDICINE,53,0.175
TRANSPORTATION,51,0.169
DENTISTRY ORAL SURGERY MEDICINE,48,0.159
EDUCATION SCIENTIFIC DISCIPLINES,47,0.155
ENGINEERING BIOMEDICAL,46,0.152
MICROBIOLOGY,44,0.145
ANESTHESIOLOGY,43,0.142
SOCIAL ISSUES,43,0.142
CHEMISTRY APPLIED,40,0.132
STATISTICS PROBABILITY,38,0.126
BIOCHEMICAL RESEARCH METHODS,37,0.122
VETERINARY SCIENCES,35,0.116
OPHTHALMOLOGY,34,0.112
ENVIRONMENTAL STUDIES,31,0.102
HOSPITALITY LEISURE SPORT TOURISM,31,0.102
VIROLOGY,31,0.102
BUSINESS,30,0.099
MEDICINE LEGAL,30,0.099
EMERGENCY MEDICINE,29,0.096
DERMATOLOGY,28,0.093
NEUROIMAGING,28,0.093
CRIMINOLOGY PENOLOGY,27,0.089
AGRICULTURAL ECONOMICS POLICY,25,0.083
MANAGEMENT,25,0.083
CHEMISTRY ANALYTICAL,24,0.079
COMMUNICATION,24,0.079
COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS,24,0.079
GEOGRAPHY,24,0.079
LAW,24,0.079
AGRICULTURE DAIRY ANIMAL SCIENCE,23,0.076
DEVELOPMENTAL BIOLOGY,21,0.069
PLANT SCIENCES,21,0.069
PSYCHOLOGY EDUCATIONAL,21,0.069
URBAN STUDIES,21,0.069
ACOUSTICS,20,0.066
AGRICULTURE MULTIDISCIPLINARY,20,0.066
EVOLUTIONARY BIOLOGY,19,0.063
COMPUTER SCIENCE INFORMATION SYSTEMS,18,0.06
ETHICS,18,0.06
OTORHINOLARYNGOLOGY,18,0.06
ANDROLOGY,16,0.053
ENGINEERING ELECTRICAL ELECTRONIC,16,0.053
RELIGION,16,0.053
ZOOLOGY,16,0.053
ERGONOMICS,15,0.05
