Title,Authors,Corporate_Authors,Editors,Book_Editors,Source_Title,Publication_Date,Publication_Year,Volume,Issue,Part_Number,Supplement,Special_Issue,Beginning_Page,Ending_Page,Article_Number,DOI,Conference_Title,Conference_Date,Total_Citations,Average_per_Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PREVALENCE OF HYPERTROPHIC CARDIOMYOPATHY IN A GENERAL-POPULATION OF YOUNG-ADULTS - ECHOCARDIOGRAPHIC ANALYSIS OF 4111 SUBJECTS IN THE CARDIA STUDY,"MARON, BJ; GARDIN, JM; FLACK, JM; GIDDING, SS; KUROSAKI, TT; BILD, DE",,,,CIRCULATION,AUG 15 1995,1995,92,4,,,,785,789,,10.1161/01.CIR.92.4.785,,,1200,46.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,12,21,21,26,22,33,37,31,44,32,38,55,51,58,70,67,68,71,94,81,76,72,69,44,0
"CARDIA - STUDY DESIGN, RECRUITMENT, AND SOME CHARACTERISTICS OF THE EXAMINED SUBJECTS","FRIEDMAN, GD; CUTTER, GR; DONAHUE, RP; HUGHES, GH; HULLEY, SB; JACOBS, DR; LIU, K; SAVAGE, PJ",,,,JOURNAL OF CLINICAL EPIDEMIOLOGY,1988,1988,41,11,,,,1105,1116,,10.1016/0895-4356(88)90080-7,,,992,30.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,12,12,8,9,15,15,16,10,12,10,15,15,19,30,34,36,30,36,52,37,51,51,60,60,54,68,69,83,50,0
Racial discrimination and blood pressure: The CARDIA study of young black and white adults,"Krieger, N; Sidney, S",,,,AMERICAN JOURNAL OF PUBLIC HEALTH,OCT 1996,1996,86,10,,,,1370,1378,,10.2105/AJPH.86.10.1370,,,784,31.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,24,24,23,25,32,27,38,44,40,49,39,43,42,43,37,30,34,46,31,29,33,22,0
"Dairy consumption, obesity, and the insulin resistance syndrome in young adults - The CARDIA study","Pereira, MA; Jacobs, DR; Van Horn, L; Slattery, ML; Kartashov, AI; Ludwig, DS",,,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,APR 24 2002,2002,287,16,,,,2081,2089,,10.1001/jama.287.16.2081,,,773,40.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,46,64,41,48,60,68,56,58,50,56,41,38,30,31,22,20,7,0
"Fast-food habits, weight gain, and insulin resistance (the CARDIA study): 15-year prospective analysis","Pereira, MA; Kartashov, AI; Ebbeling, CB; Van Horn, L; Slattery, M; Jacobs, DR; Ludwig, DS",,,,LANCET,JAN 1 2005,2005,365,9453,,,,36,42,,10.1016/S0140-6736(04)17663-0,,,771,48.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,42,45,65,43,62,61,60,59,58,52,51,55,38,27,0
Self-Reported and Measured Sleep Duration How Similar Are They?,"Lauderdale, Diane S.; Knutson, Kristen L.; Yan, Lijing L.; Liu, Kiang; Rathouz, Paul J.",,,,EPIDEMIOLOGY,NOV 2008,2008,19,6,,,,838,845,,10.1097/EDE.0b013e318187a7b0,,,734,56.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,25,28,43,50,59,74,78,109,93,106,56,0
"Dietary fiber, weight gain, and cardiovascular disease risk factors in young adults","Ludwig, DS; Pereira, MA; Kroenke, CH; Hilner, JE; Van Horn, L; Slattery, ML; Jacobs, DR",,,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,OCT 27 1999,1999,282,16,,,,1539,1546,,10.1001/jama.282.16.1539,,,465,21.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,17,24,24,32,31,26,26,28,30,39,17,31,26,20,18,19,8,19,19,4,0
Cardiorespiratory fitness in young adulthood and the development of cardiovascular disease risk factors,"Carnethon, MR; Gidding, SS; Nehgme, R; Sidney, S; Jacobs, DR; Liu, K",,,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,DEC 17 2003,2003,290,23,,,,3092,3100,,10.1001/jama.290.23.3092,,,382,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,26,26,25,28,23,27,24,28,14,25,24,27,26,14,10,0
Objectively measured sleep characteristics among early-middle-aged adults - The CARDIA study,"Lauderdale, Diane S.; Knutson, Kristen L.; Yan, Lijing L.; Rathouz, Paul J.; Hulley, Stephen B.; Sidney, Steve; Liu, Kiang",,,,AMERICAN JOURNAL OF EPIDEMIOLOGY,JUL 1 2006,2006,164,1,,,,5,16,,10.1093/aje/kwj199,,,381,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,26,27,33,27,28,33,29,33,34,24,26,24,17,0
gamma-glutamyltransferase is a predictor of incident diabetes and hypertension: The coronary artery risk development in young adults (CARDIA) study,"Lee, DH; Jacobs, DR; Gross, M; Kiefe, CI; Roseman, J; Lewis, CE; Steffes, M",,,,CLINICAL CHEMISTRY,AUG 2003,2003,49,8,,,,1358,1366,,10.1373/49.8.1358,,,352,19.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,12,30,32,29,24,22,31,37,25,12,24,20,14,6,5,0
