Accession_Number,DOI,Pubmed_ID,Article_Title,Link,Authors,Source,Research_Area,Document Type,Volume,Issue,Pages,Publication_Date,Times_Cited,Journal_Expected_Citations,Category_Expected_Citations,Journal_Normalized_Citation_Impact,Category_Normalized_Citation_Impact,Percentile_in_Subject_Area,Journal_Impact_Factor
WOS:A1987M001600007,n/a,MEDLINE:3440391,RECRUITMENT IN THE CORONARY-ARTERY DISEASE RISK DEVELOPMENT IN YOUNG-ADULTS (CARDIA) STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1987M001600007,"Hughes, GH; Cutter, G; Donahue, R; Friedman, GD; Hulley, S; Hunkeler, E; Jacobs, DR; Liu, K; Orden, S; Pirie, P; Tucker, B; Wagenknecht, L",CONTROLLED CLINICAL TRIALS,"PHARMACOLOGY & PHARMACY; MEDICINE, RESEARCH & EXPERIMENTAL",Article,8,4,S68-S73,1987,160,39.538462,24.7,4.05,6.4769,1.1293,n/a
WOS:A1988R520300009,10.1016/0895-4356(88)90080-7,MEDLINE:3204420,"CARDIA - STUDY DESIGN, RECRUITMENT, AND SOME CHARACTERISTICS OF THE EXAMINED SUBJECTS",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1988R520300009,"Friedman, GD; Cutter, GR; Donahue, RP; Hughes, GH; Hulley, SB; Jacobs, DR; Liu, K; Savage, PJ",JOURNAL OF CLINICAL EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; HEALTH CARE SCIENCES & SERVICES",Article,41,11,1105-1116,1988,956,65.869231,26.57,14.51,35.9808,0.0913,4.952
WOS:A1988P181700006,n/a,MEDLINE:3261566,RELATIONSHIPS OF LOW-DENSITY LIPOPROTEIN CHOLESTEROL WITH AGE AND OTHER FACTORS - A CROSS-SECTIONAL ANALYSIS OF THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1988P181700006,"Jacobs, DR; Burke, GL; Liu, K; Cutter, G; Hughes, G; Hulley, S; Sidney, S",ANNALS OF CLINICAL RESEARCH,"MEDICINE, RESEARCH & EXPERIMENTAL",Article,20,2-Jan,32-38,1988,18,17.262295,29.83,1.04,0.6035,34.6988,n/a
WOS:A1989AY60100007,10.1093/oxfordjournals.aje.a115424,MEDLINE:2683750,RELATION OF BODY FATNESS AND ITS DISTRIBUTION TO CARDIOVASCULAR RISK-FACTORS IN YOUNG BLACKS AND WHITES - THE ROLE OF INSULIN,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1989AY60100007,"Folsom, AR; Burke, GL; Ballew, C; Jacobs, DR; Haskell, WL; Donahue, RP; Liu, K; Hilner, JE",AMERICAN JOURNAL OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,130,5,911-924,1989,131,92.862222,27.03,1.41,4.8465,2.9214,4.526
WOS:A1989AQ76100010,10.1161/01.ATV.9.5.656,MEDLINE:2783079,DISTRIBUTION OF LIPOPROTEINS AND APOLIPOPROTEINS IN YOUNG-ADULTS - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1989AQ76100010,"Donahue, RP; Jacobs, DR; Sidney, S; Wagenknecht, LE; Albers, JJ; Hulley, SB",ARTERIOSCLEROSIS,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE,Article,9,5,656-664,1989,86,81.165217,34.76,1.06,2.474,8,n/a
WOS:A1989AK48000015,10.1161/01.HYP.14.2.218,MEDLINE:2759681,"ETHNIC-DIFFERENCES IN BLOOD-PRESSURE, PULSE-RATE, AND RELATED CHARACTERISTICS IN YOUNG-ADULTS - THE CARDIA STUDY",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1989AK48000015,"Liu, K; Ballew, C; Jacobs, DR; Sidney, S; Savage, PJ; Dyer, A; Hughes, G; Blanton, MM",HYPERTENSION,PERIPHERAL VASCULAR DISEASE,Article,14,2,218-226,1989,75,68.058537,40.99,1.1,1.8297,14.4499,7.713
WOS:A1990DU69000010,10.1016/0895-4356(90)90240-P,MEDLINE:2200851,THE UTILITY OF INDIRECT MEASURES OF OBESITY IN RACIAL COMPARISONS OF BLOOD-PRESSURE,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1990DU69000010,"Ballew, C; Liu, K; Savage, P; Oberman, A; Smoak, C",JOURNAL OF CLINICAL EPIDEMIOLOGY,"HEALTH CARE SCIENCES & SERVICES; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,43,8,799-804,1990,4,67.445161,30.41,0.06,0.1316,74.5238,4.952
WOS:A1990DV58700006,10.2105/AJPH.80.9.1053,MEDLINE:2382740,RACIAL-DIFFERENCES IN SERUM COTININE LEVELS AMONG SMOKERS IN THE CORONARY-ARTERY RISK DEVELOPMENT IN (YOUNG) ADULTS STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1990DV58700006,"Wagenknecht, LE; Cutter, GR; Haley, NJ; Sidney, S; Manolio, TA; Hughes, GH; Jacobs, DR",AMERICAN JOURNAL OF PUBLIC HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,80,9,1053-1056,1990,223,64.97549,28.54,3.43,7.8146,1.319,6.464
WOS:A1990DT77200010,10.1016/0091-7435(90)90045-L,MEDLINE:2204915,OBESITY AND OVERWEIGHT IN YOUNG-ADULTS - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1990DT77200010,"Burke, GL; Jacobs, DR; Sprafka, JM; Savage, PJ; Sidney, S; Wagenknecht, LE",PREVENTIVE MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Note,19,4,476-488,1990,69,43,13.89,1.6,4.9668,3.2626,3.788
WOS:A1990ET59500017,10.1093/ije/19.4.889,MEDLINE:2084017,THE LEUKOCYTE COUNT - CORRELATES AND RELATIONSHIP TO CORONARY RISK-FACTORS - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1990ET59500017,"Friedman, GD; Tekawa, I; Grimm, RH; Manolio, T; Shannon, SG; Sidney, S",INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,19,4,889-893,1990,92,36.607143,28.54,2.51,3.224,6.0154,7.707
