Funding_Agencies,records,percent_of_total
UNITED STATES DEPARTMENT OF HEALTH HUMAN SERVICES,8953,29.598
NATIONAL INSTITUTES OF HEALTH NIH USA,8803,29.102
NIH NATIONAL HEART LUNG BLOOD INSTITUTE NHLBI,3388,11.2
NIH NATIONAL INSTITUTE ON AGING NIA,1327,4.387
NIH NATIONAL INSTITUTE OF DIABETES DIGESTIVE KIDNEY DISEASES NIDDK,984,3.253
NIH NATIONAL CANCER INSTITUTE NCI,885,2.926
NIH EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH HUMAN DEVELOPMENT NICHD,755,2.496
NIH NATIONAL CENTER FOR RESEARCH RESOURCES NCRR,748,2.473
NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA,609,2.013
MEDICAL RESEARCH COUNCIL UK MRC,572,1.891
NIH NATIONAL INSTITUTE OF MENTAL HEALTH NIMH,499,1.65
NIH NATIONAL INSTITUTE ON DRUG ABUSE NIDA,435,1.438
CANADIAN INSTITUTES OF HEALTH RESEARCH CIHR,409,1.352
AMERICAN HEART ASSOCIATION,363,1.2
NATIONAL HEALTH AND MEDICAL RESEARCH COUNCIL OF AUSTRALIA,359,1.187
NIH NATIONAL INSTITUTE ON MINORITY HEALTH HEALTH DISPARITIES NIMHD,320,1.058
EUROPEAN UNION EU,307,1.015
NIH NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES NCATS,294,0.972
MINISTRY OF EDUCATION CULTURE SPORTS SCIENCE AND TECHNOLOGY JAPAN MEXT,289,0.955
NIH NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES NIEHS,274,0.906
BRITISH HEART FOUNDATION,271,0.896
WELLCOME TRUST,251,0.83
NIH NATIONAL INSTITUTE OF NURSING RESEARCH NINR,238,0.787
CENTERS FOR DISEASE CONTROL PREVENTION USA,227,0.75
UNIVERSITY OF MINNESOTA SYSTEM,223,0.737
NIH NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS STROKE NINDS,213,0.704
UNITED STATES PUBLIC HEALTH SERVICE,213,0.704
KAISER FOUNDATION RESEARCH INSTITUTE,208,0.688
NATIONAL INSTITUTE FOR HEALTH RESEARCH NIHR,202,0.668
NORTHWESTERN UNIVERSITY,191,0.631
NIH NATIONAL INSTITUTE ON ALCOHOL ABUSE ALCOHOLISM NIAAA,187,0.618
NATIONAL COUNCIL FOR SCIENTIFIC AND TECHNOLOGICAL DEVELOPMENT CNPQ,181,0.598
NIH NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES NIGMS,176,0.582
ECONOMIC SOCIAL RESEARCH COUNCIL ESRC,173,0.572
ROBERT WOOD JOHNSON FOUNDATION RWJF,171,0.565
UNIVERSITY OF ALABAMA AT BIRMINGHAM,170,0.562
US DEPARTMENT OF VETERANS AFFAIRS,158,0.522
ACADEMY OF FINLAND,154,0.509
SWEDISH RESEARCH COUNCIL,154,0.509
