Group_Authors,records,percent_of_total
WORLD KIDNEY DAY STEERING COMM,47,0.155
COUNCIL CLINICAL CARDIOLOGY,16,0.053
COUNCIL CARDIOVASC DIS YOUNG,15,0.05
IEEE,13,0.043
COUNCIL CARDIOVASC STROKE NURSING,11,0.036
COUNCIL EPIDEMIOLOGY PREVENTION,11,0.036
AMER COLL CARDIOLOGY,8,0.026
COUNCIL QUALITY CARE OUTCOMES RES,8,0.026
CRIC STUDY INVESTIGATORS,8,0.026
STROKE COUNCIL,8,0.026
AMER HEART ASSOC,7,0.023
DESIR STUDY GRP,7,0.023
HELENA STUDY GRP,7,0.023
HLTH ABC STUDY,7,0.023
PREVEND STUDY GRP,7,0.023
STROKE STAT SUBCOMM,7,0.023
AMER DIABET ASSOC,6,0.02
INTERMAP RES GRP,6,0.02
DIABET PREVENTION PROGRAM RES GRP,5,0.017
INTERACT CONSORTIUM,5,0.017
NAGAHAMA STUDY GRP,5,0.017
OSTEOPOROTIC FRACTURES MEN MROS ST,5,0.017
AMER HEART ASSOC COUNCIL,4,0.013
AMER HEART ASSOC STAT COMM,4,0.013
COUNCIL LIFESTYLE CARDIOMETAB HLTH,4,0.013
COUNCIL PERIPHERAL VASC DIS,4,0.013
ERA JUMP STUDY GRP,4,0.013
MILLENNIUM COHORT STUDY TEAM,4,0.013
NATL ACAD SCI ENGN MED,4,0.013
PREDIMED PLUS INVESTIGATORS,4,0.013
PREDIMED-PLUS INVESTIGATORS,4,0.013
RISC INVESTIGATORS,4,0.013
SESSA RES GRP,4,0.013
STUDY FAT REDISTRIBUTION METABOLIC,4,0.013
STUDY NOVEL APPROACHES WEIGHT GAIN,4,0.013
2018 PHYS ACTIVITY GUIDELINES,3,0.01
CANADIAN RESPOND HD COLLABORATIVE,3,0.01
CANADIAN RESPOND-HD COLLABORATIVE,3,0.01
CHILDHOOD ASTHMA MANAGEMENT,3,0.01
COMM HLTH EFFECTS MARIJUANA,3,0.01
COPDGENE INVESTIGATORS,3,0.01
COUNCIL CARDIOVASC NURSING,3,0.01
COUNCIL CARDIOVASC RADIOLOGY INTER,3,0.01
COUNCIL FUNCTIONAL GENOMICS TRANSL,3,0.01
COUNCIL KIDNEY CARDIOVASC DIS,3,0.01
COUNTERWEIGHT PROJECT TEAM,3,0.01
CRONICAS COHORT STUDY GRP,3,0.01
DCCT EDIC RES GRP,3,0.01
EARTH STUDY TEAM,3,0.01
EUNICE KENNEDY SHRIVER NATL INST,3,0.01
JICHI MED SCH COHORT STUDY GRP,3,0.01
JPHC STUDY GRP,3,0.01
LOOK AHEAD RES GRP,3,0.01
