Meeting_Titles,records,percent_of_total
77TH SCIENTIFIC MEETING OF THE AMERICAN HEART ASSOCIATION,5,0.017
24TH ANNUAL NATIONAL SYMPOSIUM ON FAMILY ISSUES 24 25 OCT 2016 UNIVERSITY PARK PA,4,0.013
2ND WORLD SYMPOSIUM OF DAIRY PRODUCTS IN HUMAN HEALTH AND NUTRITION,4,0.013
BOGALUSA HEART STUDY 20TH ANNIVERSARY SYMPOSIUM,4,0.013
3RD SYMPOSIUM ON FROM PHENOTYPE TO GENE IN COMMON DISORDERS,3,0.01
46TH ANNUAL CONFERENCE ON CARDIOVASCULAR DISEASE EPIDEMIOLOGY AND PREVENTION,3,0.01
4TH FRANCO AUSTRALIAN MEETING ON HYPERTENSION,3,0.01
7TH INTERNATIONAL VAHOUNY FIBRE SYMPOSIUM,3,0.01
90TH MEETING ON SOCIAL NEUROSCIENCE GENE ENVIRONMENT BRAIN BODY,3,0.01
9TH ANNUAL MEETING OF THE SOCIETY FOR RESEARCH ON NICOTINE AND TOBACCO,3,0.01
ANNUAL MEETING OF THE NORTH AMERICAN ASSOCIATION FOR THE STUDY OF OBESITY,3,0.01
CONFERENCE ON GOOD FAT BAD FAT AT MEETING OF THE ASSOCIATION FOR THE STUDY OF OBESITY,3,0.01
CONFERENCE ON PHYSICAL ACTIVITY IN THE PREVENTION AND TREATMENT OF OBESITY AND ITS COMORBIDITIES,3,0.01
CONFERENCE ON SOCIOECONOMIC STATUS AND HEALTH IN INDUSTRIAL NATIONS SOCIAL PSYCHOLOGICAL AND BIOLOGICAL PATHWAYS,3,0.01
SUMMER MEETING OF THE NUTRITION SOCIETY,3,0.01
SUMMER MEETING OF THE NUTRITION SOCIETY ASSOCIATION FOR THE STUDY OF OBESITY,3,0.01
SYMPOSIUM ON THE SCIENTIFIC EVIDENCE FOR THE ROLE OF DAIRY FOODS IN NUTRIENT ADEQUACY AND CHRONIC DISEASE,3,0.01
156TH ANNUAL MEETING OF THE AMERICAN PSYCHIATRIC ASSOCIATION,2,0.007
15TH GUMS AND STABILISERS FOR THE FOOD INDUSTRY CONFERENCE,2,0.007
19TH INTERNATIONAL INTERDISCIPLINARY CONFERENCE ON HYPERTENSION IN BLACKS AND RELATED RISK FACTORS,2,0.007
1ST CONFERENCE ON MENTHOL CIGARETTES,2,0.007
22ND ANNUAL MEETING OF THE SOCIETY FOR MATERNAL FETAL MEDICINE,2,0.007
23RD INTERNATIONAL SYMPOSIUM ON SHIFTWORK AND WORKING TIME TOWARDS A GLOBAL CONSENSUS,2,0.007
26TH ANNUAL MEETING OF THE SOCIETY OF GENERAL INTERNAL MEDICINE,2,0.007
2ND WORLD CONGRESS ON CONTROVERSIES TO CONSENSUS IN DIABETES OBESITY AND HYPERTENSION,2,0.007
32ND ANNUAL MEETING OF THE AMERICAN SOCIETY OF NEPHROLOGY,2,0.007
33RD SYMPOSIUM ON REGULATORY MECHANISMS OF STRIATED MUSCLE CONTRACTION,2,0.007
41ST COMPUTING IN CARDIOLOGY CONFERENCE CINC,2,0.007
4TH ANNUAL WEIGHT AND STIGMA CONFERENCE,2,0.007
5TH INTERNATIONAL WORKSHOP CONFERENCE ON GESTATIONAL DIABETES,2,0.007
64TH ANNUAL MEETING OF THE AMERICAN PSYCHOSOMATIC SOCIETY,2,0.007
67TH ANNUAL MEETING OF THE AMERICAN DIABETES ASSOCIATION,2,0.007
8TH INTERNATIONAL CONGRESS ON OBESITY,2,0.007
ACTIVE LIVING RESEARCH ALR CONFERENCE ON ACTIVE LIVING ACROSS THE LIFE SPAN,2,0.007
ANNUAL MEETING OF THE PEDIATRIC ACADEMIC SOCIETIES,2,0.007
ANNUAL MEETING OF THE PEDIATRIC ACADEMIC SOCIETY SOCIETY FOR PEDIATRIC RESEARCH,2,0.007
ANNUAL WINTER ROUNDTABLE ON CROSS CULTURAL COUNSELING AND PSYCHOTHERAPY,2,0.007
ASEAN CONFERENCE ON ENVIRONMENT BEHAVIOUR STUDIES ACE BS ON WAY OF LIFE SOCIO ECONOMIC AND CULTURAL CONTEXT,2,0.007
COLLOQUIUM ON LIPOPROTEIN A THE REALLY BAD CHOLESTEROL,2,0.007
CONFERENCE ON DIETARY MANAGEMENT OF DISEASE,2,0.007
CONFERENCE ON FOODS FOR HEALTH IN THE 21ST CENTURY A ROAD MAP FOR THE FUTURE,2,0.007
CONFERENCE ON LONGEVITY REGENERATION AND OPTIMAL HEALTH,2,0.007
CONFERENCE ON MEDICAL IMAGING IMAGE PROCESSING,2,0.007
CONFERENCE ON MOOD DISORDERS AND MEDICAL ILLNESS,2,0.007
CONSENSUS MEETING ON THE ROLE OF URIC ACID UA IN CARDIOVASCULAR RISK,2,0.007
EXPERIMENTAL BIOLOGY 2002 ANNUAL MEETING,2,0.007
EXPERIMENTAL BIOLOGY 2003 ANNUAL MEETING,2,0.007
EXPERIMENTAL BIOLOGY 2004 ANNUAL MEETING,2,0.007
INTERNATIONAL CONFERENCE ON ADVANCES IN CARDIOVASCULAR RESEARCH,2,0.007
JOINT FAO WHO EXPERT CONSULTATION ON FATS AND FATTY ACIDS IN HUMAN NUTRITION,2,0.007
LEDUCQ SYMPOSIUM ON CRITICAL ISSUES IN CARDIOVASCULAR RESEARCH,2,0.007
NATO ADVANCED RESEARCH WORKSHOP ON INCREASE IN CORONARY HEART DISEASE IN CENTRAL AND EASTERN EUROPE,2,0.007
SCIENTIFIC SESSIONS AND MEETING OF THE AMERICAN HEART ASSOCIATION AHA,2,0.007
SCIENTIFIC SESSIONS OF THE AMERICAN HEART ASSOCIATION,2,0.007
SYMPOSIUM ON DIETARY INFLUENCES ON OBESITY ENVIRONMENT BEHAVIOR AND BIOLOGY,2,0.007
SYMPOSIUM ON INFLUENCES ON EATING AND BODY WEIGHT OVER THE LIFESPAN CHILDHOOD AND ADOLESCENCE,2,0.007
WORKSHOP ON INDIVIDUAL FATTY ACIDS AND CARDIOVASCULAR DISEASE,2,0.007
104TH INTERNATIONAL CONFERENCE OF THE AMERICAN THORACIC SOCIETY,1,0.003
108TH ANNUAL CONVENTION OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION,1,0.003
10TH ANNUAL MEETING OF THE CRITICAL AND FEMINIST PERSPECTIVES IN NURSING,1,0.003
10TH ANNUAL MEETING OF THE EUROPEAN ASSOCIATION FOR CARDIO THORACIC SURGERY,1,0.003
10TH ASIAN CONGRESS OF NUTRITION,1,0.003
10TH BERGMEYER CONFERENCE,1,0.003
10TH BIENNIAL MEETING OF THE EUROPEAN ASSOCIATION FOR RESEARCH ON ADOLESCENCE,1,0.003
10TH EUROPEAN HEALTH PSYCHOLOGY SOCIETY CONFERENCE ON MAKING A DIFFERENCE HEALTH PSYCHOLOGY AND CHRONIC DISEASE,1,0.003
10TH GARGELLEN CONFERENCE ON FROM MOLECULE TO MEN MOLECULAR BASIS OF CONGENITAL CARDIOVASCULAR DISORDERS,1,0.003
10TH INTERNATIONAL CONFERENCE ON METHODS AND APPLICATIONS OF RADIOANALYTICAL CHEMISTRY MARC,1,0.003
10TH INTERNATIONAL CONGRESS ON CORONARY ARTERY DISEASE ICCAD,1,0.003
113TH ANNUAL CONVENTION OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION,1,0.003
11TH ANNUAL AMERICAN ACADEMIC SURGICAL CONGRESS ASC OF THE SOCIETY OF UNIVERSITY SURGEONS ASSOCIATION FOR ACADEMIC SURGERY,1,0.003
11TH ANNUAL CONGRESS OF THE EUROPEAN RESPIRATORY SOCIETY,1,0.003
11TH ANNUAL RESEARCH CONFERENCE ON DIET NUTRITION AND CANCER,1,0.003
11TH BIENNIAL MEETING OF THE SOCIETY FOR RESEARCH ON ADOLESCENCE,1,0.003
