Funding_Agencies,records,percent_of_total
UNITED STATES DEPARTMENT OF HEALTH HUMAN SERVICES,662,88.621
NATIONAL INSTITUTES OF HEALTH NIH USA,661,88.487
NIH NATIONAL HEART LUNG BLOOD INSTITUTE NHLBI,617,82.597
NIH NATIONAL INSTITUTE ON AGING NIA,221,29.585
UNIVERSITY OF MINNESOTA SYSTEM,155,20.75
KAISER FOUNDATION RESEARCH INSTITUTE,153,20.482
NORTHWESTERN UNIVERSITY,121,16.198
UNIVERSITY OF ALABAMA AT BIRMINGHAM,115,15.395
INTRAMURAL RESEARCH PROGRAM OF THE NATIONAL INSTITUTE ON AGING NIA,114,15.261
JOHNS HOPKINS UNIVERSITY,95,12.718
NIH NATIONAL INSTITUTE OF DIABETES DIGESTIVE KIDNEY DISEASES NIDDK,54,7.229
NORTHWESTERN UNIVERSITY FIELD CENTER,37,4.953
UNIVERSITY OF ALABAMA AT BIRMINGHAM COORDINATING CENTER,34,4.552
UNIVERSITY OF ALABAMA AT BIRMINGHAM FIELD CENTER,32,4.284
NIH EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH HUMAN DEVELOPMENT NICHD,24,3.213
NIH NATIONAL CANCER INSTITUTE NCI,24,3.213
UNIVERSITY OF CALIFORNIA SYSTEM,24,3.213
WAKE FOREST UNIVERSITY,20,2.677
AMERICAN HEART ASSOCIATION,15,2.008
CARDIA,15,2.008
HARBOR UCLA RESEARCH EDUCATION INSTITUTE COMPUTED TOMOGRAPHY READING CENTER,15,2.008
NIH NATIONAL CENTER FOR RESEARCH RESOURCES NCRR,13,1.74
CAROLINA POPULATION CENTER,12,1.606
NIH NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES NIGMS,11,1.473
NIH NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES NIEHS,9,1.205
NEW ENGLAND MEDICAL CENTER,8,1.071
NIH NATIONAL INSTITUTE OF MENTAL HEALTH NIMH,8,1.071
UNITED STATES PUBLIC HEALTH SERVICE,8,1.071
NIH NATIONAL INSTITUTE ON DRUG ABUSE NIDA,7,0.937
CENTERS FOR DISEASE CONTROL PREVENTION USA,6,0.803
NEW ENGLAND MEDICAL CENTER FROM THE NATIONAL HEART LUNG AND BLOOD INSTITUTE,6,0.803
ROBERT WOOD JOHNSON FOUNDATION RWJF,6,0.803
UNC CH CLINIC NUTRITION RESEARCH CENTER,6,0.803
NATIONAL INSTITUTES OF HEALTH S NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,5,0.669
NIH NATIONAL INSTITUTE ON ALCOHOL ABUSE ALCOHOLISM NIAAA,5,0.669
NOVO NORDISK,5,0.669
NHLBI THE INTRAMURAL RESEARCH PROGRAM OF THE NATIONAL INSTITUTE ON AGING NIA,4,0.535
NIH NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS STROKE NINDS,4,0.535
