Grant_Numbers,records,percent_of_total
N01-HC-48047,303,40.562
N01-HC-48048,295,39.491
N01-HC-48049,282,37.751
N01-HC-95095,243,32.53
N01-HC-48050,239,31.995
HHSN268201300025C,204,27.309
HHSN268200900041C,201,26.908
HHSN268201300026C,201,26.908
HHSN268201300029C,200,26.774
HHSN268201300027C,197,26.372
HHSN268201300028C,191,25.569
AG0005,178,23.829
N01-HC-05187,62,8.3
N01-HC-45134,49,6.56
N01HC48047,35,4.685
N01HC48048,34,4.552
N01HC48050,34,4.552
N01HC95095,34,4.552
N01HC48049,32,4.284
N01-HC-45204,29,3.882
R01 HL053560,29,3.882
N01-HC-45205,28,3.748
K01 DK059944,24,3.213
N01-HC48048,21,2.811
N01-HC48049,19,2.544
N01-HC95095,19,2.544
HHSN268201800004I,18,2.41
HHSN268201800005I,18,2.41
HHSN268201800006I,18,2.41
HHSN268201800007I,18,2.41
N01-HC48047,18,2.41
HHSN268201800003I,17,2.276
N01-HC48050,14,1.874
R01 DK090047,14,1.874
R01-HL-53560,14,1.874
NO1-HC-48049,13,1.74
NO1-HC-95095,13,1.74
R01HL104580,13,1.74
R01 HL078972,12,1.606
P30DK56350,11,1.473
P30ES010126,11,1.473
T32HL069771,11,1.473
K01-HD044263,10,1.339
N01 HC048050,10,1.339
N01-HC-84047,10,1.339
N01-HC-84048,10,1.339
R01HL081572,10,1.339
N01 HC048049,9,1.205
NO1-HC-48047,9,1.205
NO1-HC-48048,9,1.205
R01 HL 53560,9,1.205
HL-43758,8,1.071
N01 HC048047,8,1.071
N01 HC048048,8,1.071
N01-HC-48047-48050,8,1.071
N01HC05187,8,1.071
NIH DK56350,8,1.071
NO1-HC-48050,8,1.071
R01-AA12162,8,1.071
R01-CA109831,8,1.071
R01-CA770403,8,1.071
R01-HL098445,8,1.071
R01HL114091,8,1.071
T32HL007779,8,1.071
AG 11412,7,0.937
N01 HC045134,7,0.937
N01 HC095095,7,0.937
N01-HC-84049,7,0.937
R01 HL 078972,7,0.937
R01-HL-098445,7,0.937
R01-HL065611,7,0.937
T32 HL007779,7,0.937
DK56350,6,0.803
HL65111,6,0.803
HL65112,6,0.803
K01AG047273,6,0.803
KL2TR001424,6,0.803
P2C HD050924,6,0.803
P30-ES10126,6,0.803
R01-CA121152,6,0.803
AG032136,5,0.669
DK056350,5,0.669
HL072810,5,0.669
K24-HL125704,5,0.669
N01-HC-48047-N01-HC-48050,5,0.669
NIH P30-ES10126,5,0.669
R01 DK106201,5,0.669
R01 HL122477,5,0.669
R24HD050924,5,0.669
R56 HL125423,5,0.669
1 K01 HL73249-01,4,0.535
14SFRN20480260,4,0.535
1R01-HL53560-01A1,4,0.535
GM065509,4,0.535
HHSN268200425205C,4,0.535
HL072904,4,0.535
HL072905,4,0.535
HL66682,4,0.535
HL71017,4,0.535
N01 HC 48049,4,0.535
N01 HC-48050,4,0.535
N01-HC 48047,4,0.535
