Organizations_Enhanced,records,percent_of_total
UNIVERSITY OF MINNESOTA SYSTEM,398,53.28
UNIVERSITY OF MINNESOTA TWIN CITIES,398,53.28
UNIVERSITY OF ALABAMA SYSTEM,377,50.469
UNIVERSITY OF ALABAMA BIRMINGHAM,372,49.799
NORTHWESTERN UNIVERSITY,351,46.988
KAISER PERMANENTE,256,34.27
FEINBERG SCHOOL OF MEDICINE,209,27.979
UNIVERSITY OF CALIFORNIA SYSTEM,205,27.443
NATIONAL INSTITUTES OF HEALTH NIH USA,197,26.372
NIH NATIONAL HEART LUNG BLOOD INSTITUTE NHLBI,170,22.758
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,146,19.545
UNIVERSITY OF OSLO,102,13.655
UNIVERSITY OF NORTH CAROLINA,79,10.576
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,79,10.576
US DEPARTMENT OF VETERANS AFFAIRS,64,8.568
VETERANS HEALTH ADMINISTRATION VHA,64,8.568
WAKE FOREST UNIVERSITY,60,8.032
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE,58,7.764
UNIVERSITY OF PITTSBURGH,58,7.764
UNIVERSITY OF MASSACHUSETTS SYSTEM,52,6.961
UNIVERSITY OF WASHINGTON,52,6.961
UNIVERSITY OF WASHINGTON SEATTLE,51,6.827
JOHNS HOPKINS UNIVERSITY,50,6.693
UNIVERSITY OF TEXAS SYSTEM,50,6.693
HARVARD UNIVERSITY,48,6.426
VANDERBILT UNIVERSITY,46,6.158
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON,44,5.89
UNIVERSITY OF MASSACHUSETTS WORCESTER,41,5.489
COLUMBIA UNIVERSITY,35,4.685
WAKE FOREST BAPTIST MEDICAL CENTER,35,4.685
UNIVERSITY OF CALIFORNIA LOS ANGELES,34,4.552
NIH NATIONAL INSTITUTE ON AGING NIA,31,4.15
UNIVERSITY OF MICHIGAN,30,4.016
UNIVERSITY OF MICHIGAN SYSTEM,30,4.016
UNIVERSITY OF CALIFORNIA IRVINE,26,3.481
UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICINE,26,3.481
DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA,23,3.079
NEMOURS ALFRED I DUPONT HOSPITAL FOR CHILDREN,23,3.079
UNIVERSITY OF PENNSYLVANIA,23,3.079
COLORADO SCHOOL OF PUBLIC HEALTH,21,2.811
UNIVERSITY OF UTAH,21,2.811
UTAH SYSTEM OF HIGHER EDUCATION,21,2.811
VETERANS AFFAIRS MEDICAL CENTER BIRMINGHAM,21,2.811
INDIANA UNIVERSITY SYSTEM,18,2.41
HARVARD T H CHAN SCHOOL OF PUBLIC HEALTH,17,2.276
SAN FRANCISCO VA MEDICAL CENTER,17,2.276
CARNEGIE MELLON UNIVERSITY,16,2.142
ANN ROBERT H LURIE CHILDREN S HOSPITAL OF CHICAGO,14,1.874
BRIGHAM WOMEN S HOSPITAL,14,1.874
KYUNGPOOK NATIONAL UNIVERSITY,14,1.874
UNIVERSITY OF CHICAGO,14,1.874
UNIVERSITY OF ILLINOIS CHICAGO,14,1.874
UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL,14,1.874
UNIVERSITY OF ILLINOIS SYSTEM,14,1.874
UNIVERSITY OF NEW MEXICO,14,1.874
INDIANA UNIVERSITY BLOOMINGTON,13,1.74
PENNINGTON BIOMEDICAL RESEARCH CENTER,13,1.74
UNIVERSITY OF COLORADO SYSTEM,13,1.74
UNIVERSITY OF LOUISIANA LAFAYETTE,13,1.74
CENTERS FOR DISEASE CONTROL PREVENTION USA,12,1.606
SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER,12,1.606
STANFORD UNIVERSITY,12,1.606
DUKE UNIVERSITY,11,1.473
ROBERT H LURIE COMPREHENSIVE CANCER CENTER,11,1.473
STATE UNIVERSITY SYSTEM OF FLORIDA,11,1.473
UNIVERSITY OF COLORADO ANSCHUTZ MEDICAL CAMPUS,11,1.473
BROWN UNIVERSITY,10,1.339
JOHNS HOPKINS MEDICINE,10,1.339
STATE UNIVERSITY OF NEW YORK SUNY STONY BROOK,10,1.339
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM,10,1.339
UNIVERSITY OF IOWA,10,1.339
UNIVERSITY OF MIAMI,10,1.339
UNIVERSITY OF VERMONT,10,1.339
LOYOLA UNIVERSITY CHICAGO,9,1.205
NEMOURS CARDIAC CTR,9,1.205
PEKING UNIVERSITY,9,1.205
UNIVERSITY OF BERN,9,1.205
